pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Prostaglandin formation from dihomo gama-linoleic acid	0	0	0.009747080077304428			
C21-steroid hormone biosynthesis and metabolism	0	1	0.009747080077304428			
Starch and Sucrose Metabolism	0	0	0.009747080077304428			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.009747080077304428			
Omega-6 fatty acid metabolism	0	1	0.009747080077304428			
Phytanic acid peroxisomal oxidation	0	1	0.009747080077304428			
Pentose phosphate pathway	0	3	0.009747080077304428			
Methionine and cysteine metabolism	0	6	0.009747080077304428			
Lysine metabolism	0	5	0.009747080077304428			
Selenoamino acid metabolism	0	4	0.009747080077304428			
