category	significant	up	down	expected_up	expected_down	raw_p_value	corr_p_value
Fatty Acyls [FA]		14	11	14.015151515151514	10.984848484848486	1.0	1.0
Polyketides [PK]		6	8	7.848484848484848	6.151515151515152	0.7063902723560821	1.0
Glycerolipids [GL]		2	2	2.242424242424242	1.7575757575757578	1.0	1.0
Prenol Lipids [PR]		2	0	1.121212121212121	0.8787878787878789	1.0	1.0
Sphingolipids [SP]		1	1	1.121212121212121	0.8787878787878789	1.0	1.0
Sterol Lipids [ST]		4	4	4.484848484848484	3.5151515151515156	1.0	1.0
Glycerophospholipids [GP]		8	3	6.166666666666666	4.833333333333334	0.6594427244582045	1.0
