category	significant	up	down	expected_up	expected_down	raw_p_value	corr_p_value
Fatty Acyls [FA]		0	10	1.0714285714285714	8.928571428571429	0.4736842105263158	0.9629629629629629
Polyketides [PK]		5	12	1.8214285714285714	15.178571428571429	0.17484073212660528	0.9629629629629629
Prenol Lipids [PR]		1	3	0.42857142857142855	3.5714285714285716	1.0	1.0
Sterol Lipids [ST]		0	14	1.5	12.5	0.48148148148148145	0.9629629629629629
Sphingolipids [SP]		0	5	0.5357142857142857	4.464285714285714	1.0	1.0
Glycerophospholipids [GP]		0	6	0.6428571428571428	5.357142857142858	1.0	1.0
