category	significant	up	down	expected_up	expected_down	raw_p_value	corr_p_value
Fatty Acyls [FA]		30	21	31.438356164383563	19.561643835616437	0.8394487956678518	0.9793569282791604
Polyketides [PK]		14	15	17.876712328767123	11.123287671232877	0.4286558330673583	0.85
Glycerolipids [GL]		7	3	6.164383561643836	3.835616438356164	1.0	1.0
Sterol Lipids [ST]		8	7	9.246575342465754	5.7534246575342465	0.7103816512796233	0.9793569282791604
Prenol Lipids [PR]		0	3	1.8493150684931507	1.1506849315068493	0.4000000000000001	0.85
Sphingolipids [SP]		1	3	2.4657534246575343	1.5342465753424657	0.48571428571428565	0.85
Glycerophospholipids [GP]		30	4	20.958904109589042	13.041095890410958	0.012088057851728038	0.08461640496209627
