category	significant	up	down	expected_up	expected_down	raw_p_value	corr_p_value
Polyketides [PK]		2	1	1.2272727272727273	1.7727272727272725	1.0	1.0
Glycerophospholipids [GP]		3	9	4.909090909090909	7.09090909090909	0.6668461434917216	1.0
Prenol Lipids [PR]		1	0	0.4090909090909091	0.5909090909090908	1.0	1.0
Sphingolipids [SP]		2	3	2.0454545454545454	2.954545454545454	1.0	1.0
Sterol Lipids [ST]		1	0	0.4090909090909091	0.5909090909090908	1.0	1.0
