category	significant	up	down	expected_up	expected_down	raw_p_value	corr_p_value
Fatty Acyls [FA]		9	18	10.414285714285715	16.585714285714285	0.7785510195630272	1.0
Polyketides [PK]		11	7	6.942857142857143	11.057142857142857	0.1811410423820348	1.0
Glycerolipids [GL]		1	3	1.542857142857143	2.4571428571428573	1.0	1.0
Prenol Lipids [PR]		1	1	0.7714285714285715	1.2285714285714286	1.0	1.0
Sphingolipids [SP]		1	1	0.7714285714285715	1.2285714285714286	1.0	1.0
Sterol Lipids [ST]		2	6	3.085714285714286	4.914285714285715	0.6083916083916083	1.0
Glycerophospholipids [GP]		2	7	3.4714285714285715	5.5285714285714285	0.6199095022624435	1.0
