category	significant	up	down	expected_up	expected_down	raw_p_value	corr_p_value
Fatty Acyls [FA]		12	5	8.5	8.5	0.29600361109767703	1.0
Prenol Lipids [PR]		0	3	1.5	1.5	0.4000000000000001	1.0
Sterol Lipids [ST]		0	2	1.0	1.0	1.0	1.0
Glycerophospholipids [GP]		15	13	14.0	14.0	1.0	1.0
Sphingolipids [SP]		3	6	4.5	4.5	0.637186343068696	1.0
Polyketides [PK]		0	1	0.5	0.5	1.0	1.0
Glycerolipids [GL]		4	4	4.0	4.0	1.0	1.0
