category	significant	up	down	expected_up	expected_down	raw_p_value	corr_p_value
Fatty Acyls [FA]		5	3	4.756756756756757	3.243243243243243	1.0	1.0
Polyketides [PK]		5	3	4.756756756756757	3.243243243243243	1.0	1.0
Prenol Lipids [PR]		1	2	1.7837837837837838	1.2162162162162162	1.0	1.0
Sterol Lipids [ST]		4	5	5.351351351351352	3.6486486486486482	0.6371863430686959	1.0
Sphingolipids [SP]		2	1	1.7837837837837838	1.2162162162162162	1.0	1.0
Glycerophospholipids [GP]		5	1	3.5675675675675675	2.4324324324324325	0.5454545454545454	1.0
