category	significant	up	down	expected_up	expected_down	raw_p_value	corr_p_value
Fatty Acyls [FA]		8	17	9.090909090909092	15.909090909090908	0.7688126860130922	1.0
Polyketides [PK]		8	6	5.090909090909091	8.909090909090908	0.4494817606676539	1.0
Glycerolipids [GL]		2	2	1.4545454545454546	2.5454545454545454	1.0	1.0
Prenol Lipids [PR]		0	2	0.7272727272727273	1.2727272727272727	1.0	1.0
Sphingolipids [SP]		0	2	0.7272727272727273	1.2727272727272727	1.0	1.0
Sterol Lipids [ST]		2	6	2.909090909090909	5.090909090909091	1.0	1.0
Glycerophospholipids [GP]		4	7	4.0	7.0	1.0	1.0
