category	significant	up	down	expected_up	expected_down	raw_p_value	corr_p_value
Fatty Acyls [FA]	*	2	34	12.118811881188119	23.881188118811878	0.0027660676974203347	0.019362473881942344
Sphingolipids [SP]		2	9	3.702970297029703	7.297029702970296	0.6351172047766475	0.8891640866873064
Prenol Lipids [PR]		2	5	2.3564356435643568	4.643564356435643	1.0	1.0
Polyketides [PK]		8	2	3.3663366336633667	6.6336633663366324	0.06977851869492736	0.24422481543224578
Glycerolipids [GL]		3	4	2.3564356435643568	4.643564356435643	1.0	1.0
Glycerophospholipids [GP]		10	6	5.3861386138613865	10.613861386138613	0.15561347792430896	0.3630981151567209
Sterol Lipids [ST]		7	7	4.7128712871287135	9.287128712871286	0.4400711924739386	0.7701245868293927
