	Pellets_1_Rppos	Pellets_10_Rppos	Pellets_11_Rppos	Pellets_12_Rppos	Pellets_13_Rppos	Pellets_14_Rppos	Pellets_15_Rppos	Pellets_16_Rppos	Pellets_17_Rppos	Pellets_18_Rppos	Pellets_19_Rppos	Pellets_2_Rppos	Pellets_20_Rppos	Pellets_21_Rppos	Pellets_22_Rppos	Pellets_23_Rppos	Pellets_24_Rppos	Pellets_25_Rppos	Pellets_26_Rppos	Pellets_27_Rppos	Pellets_28_Rppos	Pellets_29_Rppos	Pellets_3_Rppos	Pellets_30_Rppos	Pellets_31_Rppos	Pellets_32_Rppos	Pellets_33_Rppos	Pellets_34_Rppos	Pellets_35_Rppos	Pellets_36_Rppos	Pellets_37_Rppos	Pellets_38_Rppos	Pellets_39_Rppos	Pellets_4_Rppos	Pellets_40_Rppos	Pellets_41_Rppos	Pellets_42_Rppos	Pellets_43_Rppos	Pellets_44_Rppos	Pellets_45_Rppos	Pellets_46_Rppos	Pellets_47_Rppos	Pellets_48_Rppos	Pellets_49_Rppos	Pellets_5_Rppos	Pellets_50_Rppos	Pellets_51_Rppos	Pellets_52_Rppos	Pellets_53_Rppos	Pellets_54_Rppos	Pellets_6_Rppos	Pellets_7_Rppos	Pellets_8_Rppos	Pellets_9_Rppos	id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	percent_inclusion	blank_filtered
12	2777599.274553223	891205.8943953605	817494.493719276	1192448.946314561	0.0	704984.1309631633	1237436.2485463568	3212145.7950019944	587840.4006042625	1437752.0965401588	574740.9453360465	3136304.536603108	780469.012733061	1347816.2657974341	2374943.3316263785	0.0	1139008.5123766686	716784.2928080303	2328589.397785856	812262.6131163143	1193856.938333289	1011958.7163734995	799040.8645227337	1582495.2887916188	875741.6164614426	1522336.6597848681	2353377.8526563584	2662422.645331446	0.0	0.0	704623.7072986665	0.0	1553729.9887407215	439584.6124325655	506752.167609909	1010600.5205308934	342103.87948447495	0.0	1661203.4516576715	696136.5653975708	825101.1207225885	404380.82034741325	0.0	694415.6122703656	1045666.7175010336	901651.7200198637	1377222.3752916346	0.0	2857916.282996067	530349.8647298842	404341.80161720386	319799.22819041583	548749.5985579918	1225455.2556447692	F145	166.0515	1.84	0.66	3.42	1959.0	72860254.0	1.0	0.78	252.0	51.0	0.8518518518518519	False
64	15491633.67999357	16792617.80161342	15851297.921657588	12288352.018301383	45727248.323653966	28251743.89868314	25341324.724569503	25796474.894635204	20142749.183546174	36980066.95053794	5854985.146735437	9226231.627662627	4932062.08213947	6578272.309243974	4459684.623807217	6049837.583923363	3777517.2525467235	2377696.0638323333	3158048.7374881613	2915914.5639050617	2068417.1194779202	6050452.0866651395	10030421.887408959	1652453.2847709653	2244300.2552386825	2663061.6720569814	2593176.9841758357	863017.3076265258	2185400.356245199	2047873.681033053	7208109.99782795	6623319.965713673	5077431.329599258	11816035.495676978	2211966.1772082103	3023440.0332775293	3872843.9765311205	4458012.647668162	5880391.369544828	3212839.245880668	5692720.751640693	3642714.7060587406	4206235.000121173	8372067.421837278	12439813.237372812	3617513.3313549785	5641530.702892133	3167622.682648632	5013152.086808855	10662180.632078268	13452616.087797368	20247283.926843498	22023343.0746652	540713.1320259229	F720	167.0894	24.51	22.93	26.23	2004.0	473775591.0	1.0	0.98	27.0	61.0	1.0	False
66	4235291.827273627	4157801.162214748	4242080.685040382	3874810.031842388	2256806.337651058	2331555.779817871	2830014.4977479945	2973068.994779639	2543880.039291028	0.0	3263474.9637283934	4415796.933756747	2870257.943022686	3567598.3983216025	3481881.838199674	3075653.7042820794	2365484.4612647	2544012.4701618925	3243142.3791405633	2832546.9232738493	2983063.0541649256	3533368.72189479	4195195.0735239135	2697878.492817422	3096159.6892066887	0.0	3311251.908237593	2868306.539621962	3596664.0824054396	3554956.5848671487	5652786.850669433	4975436.913435846	6025947.542920245	4866694.488446394	6376993.985044559	5596164.024231791	4843105.527183503	4818519.76038444	5169766.549065951	3767973.4056306453	5406559.607968623	4139400.790016975	6025474.027417737	5029086.498966297	4863264.279783057	4883505.865368031	5479599.659682381	5090118.208630027	5009250.717651307	5212864.50464068	4632005.248697628	4301782.898206864	3628906.9868278527	0.0	F739	265.1066	27.15	25.43	28.34	5824.0	232881311.0	0.83	0.96	1173.0	55.0	0.9444444444444444	False
67	4980624.286873691	4695726.536245807	5230782.317533147	4775574.574824027	3057043.6009166106	2836681.0305522447	3648324.037587629	2776675.7258547456	2948251.3263844787	0.0	3446787.015951026	4667359.697235872	3350545.958271205	3249234.440646657	4228522.0512662465	3637924.5134771527	4395415.361863207	2446227.1261941474	2632934.987540211	3093223.228215661	3661234.9988965136	4225893.120640289	4138214.194580873	2762471.30714748	4017597.2159924516	0.0	3681540.106555441	3814202.501477941	3587307.9976056176	3984245.7333895992	6289332.913471402	7144359.028090088	5551896.993078749	4799131.818758819	6207919.258171554	5641895.061494893	5691161.083901021	5185581.386929478	5006731.549893434	2872160.118242694	4936094.064179196	4613557.663141322	5693339.380275811	5166410.594762941	4667524.017774323	4194276.998347948	6342473.276538806	4905708.543573639	5055685.705266233	4798397.154645746	5110658.1232263865	5272676.619397954	4093021.2855543843	7601028.173843158	F740	265.1066	31.0	29.39	32.58	5824.0	249494969.0	0.82	0.92	1361.0	56.0	0.9629629629629629	False
105	980344.866683452	675718.5993381743	833291.183422997	816274.3589450206	1119684.075384381	802231.8829915276	608521.9957383672	1305667.7621860134	766670.9440895487	1246022.7155105288	1555671.428937631	398144.577096175	1211933.3184931022	959131.1832416707	765446.4786115444	1230479.282595316	1554239.3958791988	1146911.0079185728	1468864.970315894	1385406.9091203313	1408708.308494073	2122968.496116448	495303.60795851087	892707.8353479715	1953379.5492814037	896205.314336782	1021234.9094510204	1645705.9033896823	1633218.9696378838	1783675.2199736314	992338.5235052337	1548658.5829816014	1508733.9765690628	946782.5077171671	1085853.024101	1427986.3636374013	2221076.7264319505	1441474.700672197	1144620.204442471	686618.1612992088	1979838.590883232	782281.3287713495	1514560.7234933928	940265.3985726514	570817.311853373	767516.5034615288	1259186.7614860723	1343191.4033017005	574175.1007677899	1314506.2957498839	832583.1902487819	917078.7539233068	697220.7792685861	624078.261914283	F1189	265.9621	20.04	18.99	21.62	5857.0	65670338.0	1.0	0.95	170.0	61.0	1.0	False
135	25685005.83085096	26958551.86580559	19748941.73053088	23057436.716541532	65633998.22870057	45915712.96515261	25277040.03685538	26231087.027042493	26591438.369614907	33131172.980490305	75707293.23210019	9817313.83223263	52383714.58432324	65626588.71310232	42153500.360681154	66758638.088890284	50915053.25030686	20360380.326589484	29504012.602880068	24146345.591057055	46228123.9067921	71498175.2498921	13398589.90602788	33704012.46310986	76719585.23631276	35485036.85409865	45719845.42779632	51893094.97474043	55003575.742416814	63926319.63429592	97443835.74437691	43817995.00260605	53229879.96946187	27701520.410038885	26481975.20071153	26239000.41310747	53595085.623524584	65833417.88402652	10731903.4411016	15180623.250500822	68228653.27511047	14678926.686124813	33011079.101570994	104771318.12910952	38793066.21568481	41367665.33903023	42571027.73117209	35466786.61860002	32528189.13300287	40576983.2930087	35870293.56977823	28431247.076897066	23600899.417841267	15564637.16628386	F1533	216.9226	22.14	20.57	23.72	3970.0	1298559901.0	1.0	0.97	128.0	61.0	1.0	False
165	15593351.603958827	9781541.969549656	0.0	43245586.69758782	12143662.64474487	8342543.317803042	20440988.394825768	16273836.690065127	12068469.020218596	10475936.344423406	12661207.938629594	15963846.607900985	7553744.816243361	15531552.806720054	14113943.02951636	10835949.517426506	9263615.057438413	6754329.050924243	11233903.892764747	15906895.993971702	8872201.514634997	15086382.238378763	21871754.480497625	12077349.17626593	7813420.676930606	14875772.731900278	15029311.55973354	5983117.334332891	13568737.335681498	8505668.813901404	16931819.68838039	17533738.08179329	10428854.956676058	15187558.90077695	12088631.106674215	15758487.737689717	11662079.640059313	21490633.854595255	19912262.834010858	15487190.572960628	9263069.225263026	12315574.417586086	13553172.1705768	13659014.699865209	19796372.7791569	13902513.916452834	23780733.467313327	15873200.690336121	18574232.74621167	13959207.350876	10320522.765817603	15240053.515545007	9394616.81004126	6930323.590038978	F1718	217.1044	22.41	20.83	23.98	3987.0	839875476.0	1.0	0.98	1021.0	57.0	0.9814814814814815	False
178	76277551.78817984	70915963.59782667	74058842.90161008	76543641.01701725	68286581.78820005	59036151.246647194	69112591.14531623	68889188.9852532	63206043.09724456	78402619.17549913	60678324.275485806	82235580.87990834	60605005.246207386	70089756.48737298	72940199.1436256	69363483.25095575	48434748.08680529	48718417.48960643	67646727.14003327	55483730.970497474	56065867.06548834	65107323.88377605	66946481.03714434	48723973.469704226	64926491.15080392	57801589.198703334	65123851.32745571	53003273.36870846	62849260.22139056	66140720.97149694	80435383.42840983	81225124.04452075	82974850.00610001	73204725.80057415	82246448.71303049	83861033.69464469	80738217.79797511	78917656.61417001	75019753.8429429	58763072.40793086	77061724.29649507	60608801.19670038	81788670.27045798	75480911.19141693	70028550.73904496	67698361.23566265	87988174.09533456	66533360.39200135	73549433.84299737	70981321.92964205	68548162.19950265	73151892.7204653	72199517.04206397	83772093.26623987	F1793	267.1223	30.74	29.12	32.32	5914.0	1367312124.0	1.0	1.0	4101.0	61.0	1.0	False
185	2077757.4446508607	1986373.256936087	1947592.3006120624	1981635.7642430793	2484358.0668497575	1494621.8640614506	1773604.845643582	1484271.8070866326	1277769.3486030833	2109096.6514001563	1623578.75960916	2352564.3589806026	1115680.8908716522	2069616.8788524603	2192525.416833895	1925945.1032544642	1729338.7073310944	1350687.0504345158	1953697.9152501686	1772702.1240827749	1733036.7728899817	1947315.6861671978	1846527.9631936543	1382729.0924462995	1734422.3314382122	1767787.868792722	1713850.0634824228	1908301.1423328377	2383580.8013262255	2008802.4179124562	2003535.5489952113	2413075.8431592626	2774202.136526203	2151860.021185967	2607793.622728659	2019904.375486599	2555010.781408304	2135504.6693682573	2380309.839562553	1958382.549248121	2589754.4135135757	1919604.6256098421	2648091.197032833	1839784.2467235352	2512049.690925019	2215602.2087847823	2720252.509862338	2126998.1321539185	2320212.392753203	2703588.6572882505	1935698.14604625	2062557.702965198	1700955.5400834437	0.0	F1848	267.1586	26.37	24.64	27.81	5917.0	121187822.0	0.83	0.91	31.0	60.0	0.9814814814814815	False
197	12783862.634591425	9855487.871521145	10719445.95913073	9993490.877545815	9711276.764096972	9027831.927911527	9772756.53087818	9032181.225601787	8393209.079454921	11844182.496504508	5888246.186461535	11459277.131568799	7607395.670039912	8133158.5668698	7548298.076592421	8129014.976868595	5408073.653133344	5329644.0593621	5508147.383604863	5838333.01786257	5576779.031930091	7679457.727103094	9747751.850414393	5902181.740708987	6104479.345919788	5693289.127315322	5145163.526837781	4073489.632387639	8107834.293417723	6360461.511423015	9179357.455653658	8082137.964218108	7806002.099468984	9850031.232159156	9029419.892553397	7729801.687820851	6094964.496405893	9225190.027821327	8411395.207092293	6402789.782977788	7215714.845312314	6867880.529965547	7806620.337599775	9464582.214323599	9453825.789794547	7142906.114835565	9592596.806025753	7675175.4815630345	8858111.260761239	9877195.993767442	8644473.658320192	11679676.2006022	9157406.159237823	246702.6336219622	F1892	267.1814	24.38	22.8	26.1	5921.0	358554424.0	1.0	0.99	34.0	58.0	1.0	False
