	Pellets_1_Rppos	Pellets_10_Rppos	Pellets_11_Rppos	Pellets_12_Rppos	Pellets_13_Rppos	Pellets_14_Rppos	Pellets_15_Rppos	Pellets_16_Rppos	Pellets_17_Rppos	Pellets_18_Rppos	Pellets_19_Rppos	Pellets_2_Rppos	Pellets_20_Rppos	Pellets_21_Rppos	Pellets_22_Rppos	Pellets_23_Rppos	Pellets_24_Rppos	Pellets_25_Rppos	Pellets_26_Rppos	Pellets_27_Rppos	Pellets_28_Rppos	Pellets_29_Rppos	Pellets_3_Rppos	Pellets_30_Rppos	Pellets_31_Rppos	Pellets_32_Rppos	Pellets_33_Rppos	Pellets_34_Rppos	Pellets_35_Rppos	Pellets_36_Rppos	Pellets_37_Rppos	Pellets_38_Rppos	Pellets_39_Rppos	Pellets_4_Rppos	Pellets_40_Rppos	Pellets_41_Rppos	Pellets_42_Rppos	Pellets_43_Rppos	Pellets_44_Rppos	Pellets_45_Rppos	Pellets_46_Rppos	Pellets_47_Rppos	Pellets_48_Rppos	Pellets_49_Rppos	Pellets_5_Rppos	Pellets_50_Rppos	Pellets_51_Rppos	Pellets_52_Rppos	Pellets_53_Rppos	Pellets_54_Rppos	Pellets_6_Rppos	Pellets_7_Rppos	Pellets_8_Rppos	Pellets_9_Rppos	id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	percent_inclusion	blank_filtered
233	11083256.627595121	9846476.139634188	10055002.86435988	10400417.186575051	9142835.909488002	9175913.923419256	10421139.781793965	9679981.21001247	8286539.749682495	11259159.179632077	8821854.45097095	10669168.422581634	8410681.485432606	10401678.466512585	10966980.562983511	9430342.005358765	6622292.0351447025	6295354.997891849	8875682.45948769	7882383.62996213	8542459.496575313	9273242.954102261	9684599.226087106	7157677.573367175	9151334.877586836	7968183.319517352	9831362.517060624	6824075.982293273	8709136.889381887	9884615.705717295	11574266.467641726	11597597.962131133	10879041.084706662	10678918.80878952	11983422.98658396	11293596.647563348	11276356.30377468	10992413.443221428	10928705.854038527	7517514.152336017	11106382.41287497	9057943.186928881	11863798.84941917	10625701.275436804	10491310.723616144	10869298.59329844	11355051.395913748	9497989.390071798	10488271.437905468	10043523.294858553	9129776.337473845	10905276.142115733	9647208.694307912	12696693.457511306	F2037	268.1257	30.74	29.12	32.32	5946.0	585010705.0	1.0	1.0	5971.0	61.0	1.0	False
236	161956478.89084902	148250032.94504586	165581039.5556544	174436626.27101418	167072052.23592737	130831587.14084436	143858733.5759017	139013188.17166668	110492413.84980266	174219162.26243567	4700536.937450383	131207561.02322958	4408907.721335688	5802855.7844634205	6757812.180731952	6505173.398322798	4250160.997678058	3529992.0245605186	5360944.049097861	6426461.984597796	4762411.573530258	7426013.429026562	144269863.83010536	2997746.7539364435	4588030.048251457	4286614.961795247	5770295.507653339	3758146.1456339303	7087646.04069661	4730340.263059807	8195594.770342174	9344410.322464129	8898378.250223627	95902110.83051735	7979618.839149885	8522446.477676343	7077279.431205101	5020119.255573409	3718611.7989958613	2723116.9958348763	4813902.572757334	4644717.696394189	5832859.379672562	3513159.123345086	99341743.54405592	3770423.770918533	4166465.747602389	6055747.3780267	6404779.720890773	4622357.9020614615	96102004.48848057	176798398.3761333	174971027.9197893	31619037.225178417	F2050	170.0811	23.98	22.41	25.71	2124.0	1656130812.0	1.0	0.98	51.0	62.0	1.0	False
247	0.0	1290182.7409668865	1464205.8164527412	0.0	624496.0788021019	832098.6711728988	1789166.688144836	978830.3972823943	983706.9017836384	1547652.6056597375	1382860.2671500896	831248.4316757105	1713572.0123420681	1579922.237883515	1333969.8041476929	771784.7811366653	1439290.6576135086	1509584.4570583012	1315350.831066063	970043.5856436059	1040994.6844125357	1249745.6093218534	1580935.0644412332	1535933.0575915456	1540380.2402592725	1319306.4180132588	1078065.7332980703	1229388.1995824627	2430346.103972895	1032242.4776144553	1974492.0729160353	1529131.945565097	1315933.2943093677	1973171.0876056398	2040822.751344666	0.0	0.0	1692468.1229269602	1452046.640044256	1611419.119794866	1311244.3805973236	1643184.5354323252	57729.79653697207	1814212.3575902684	2081180.2547131153	1520440.8686928705	2096248.2138743084	1474107.4285318197	1403805.7396765067	2037885.6128193918	0.0	1126538.4135606727	967735.0430114497	0.0	F2108	268.176	24.51	23.06	26.23	5953.0	76396405.0	0.96	0.98	21.0	54.0	0.8888888888888888	False
250	5231613.7759175375	6144570.147647848	3352631.273007395	3655382.9711522935	6071502.948369396	3968712.153597471	7352372.212515421	4118151.7405732246	3332520.291199124	5326218.443494504	3774149.1123461984	4871159.3004193455	4279494.610394446	6806866.096629353	4097599.1628749724	5099421.827391989	5601991.75031131	3343815.2890946222	1215890.0161099734	852990.4764158635	1045350.2616057518	2537685.9859511945	4949859.822622268	1778407.4063325915	1677421.7774556512	1570041.1515569363	1417153.7190347374	1047541.7497132743	1648644.7653071948	875751.5436509511	5019135.256742024	3641325.0721693826	3268467.5674445624	4907961.088537739	3447958.464504634	1856898.7778494048	2049798.554297172	2338163.4699884346	3227143.1016540723	2353045.0363411605	2734803.3446816653	2072288.9591859474	1798225.6758679878	4691425.4503471535	7221273.668830977	4798496.407139821	3961953.6467918428	2030243.1405766122	2515146.9251257223	5871610.40003541	5428459.947506952	6668066.039323106	3846325.8990683253	0.0	F2129	268.2116	24.51	23.06	26.23	5957.0	208560715.0	1.0	0.98	553.0	56.0	0.9814814814814815	False
256	3235837.4986975472	2894626.422296379	3489850.0033343364	3697335.9132536654	4355284.222371889	3127376.4398999168	3156222.770938237	3733614.5944538065	3381461.98356236	5283288.093579537	3682992.720188604	2327752.6597766043	3360783.1398758427	3249721.8580259797	2658845.4628472696	3330196.648681023	4437251.761907512	2013932.0593412134	3480335.6514316346	2888454.387087211	3000694.791727184	3701363.8405175637	2248197.8578282613	1921427.5914756227	4389165.840061431	2691453.565470125	2882309.399310212	3060555.427785161	3559283.091083147	3355626.5465954584	3561073.7277005063	4302629.867098877	4213214.318313877	2659251.9336010064	2547389.277153814	3266823.179417883	4304233.854538699	3049357.727523882	3083493.31193079	2373043.023759289	3569667.527691243	2983731.449833748	3759503.9033363084	3561447.38919681	2889280.8219052902	2443500.776267084	3760331.415823343	2956747.2940762476	2133121.9683543514	3414896.0997059066	3612989.4790441687	3708507.5615840014	2762884.9630288137	2983541.423422169	F2226	116.0622	38.75	37.17	40.33	343.0	192095382.0	0.89	0.86	162.0	61.0	1.0	False
258	161908.53331849948	78290.47573135108	77844.76439160804	100295.17349903611	93450.40474847498	206804.54705655397	205744.70864729414	128703.47432361757	98507.9358415532	79495.1018597201	48135.335520056506	223517.30223504017	50470.62916951734	206976.6777068912	394846.7002966675	252999.60049530893	35237.52353937201	259800.63759677156	172180.87908033005	40263.23614649358	81604.10832943875	78193.33631599414	228885.9069947714	284843.21955403086	91434.16494384225	104366.06183863104	120593.55295478067	64686.363100324066	109037.04817566488	42781.331443587034	119276.92422886689	85074.53823905764	104088.59163352581	180858.5512302647	132055.4208728991	133518.24367053586	134240.86289866935	315385.81591340783	202139.39832955142	250059.6104008427	188910.36095436328	244435.026746798	104084.67662492474	82944.678329516	106534.34372364917	319636.7987090495	150466.6181615105	131823.30769912645	241844.2192900432	108598.03153709549	135851.65187018926	45956.16773256758	32097.979335799664	213210.7370971151	F2235	268.2712	229.69	228.25	231.04	5961.0	9701444.0	0.72	0.78	13.0	60.0	1.0	False
259	623317.0002037124	503819.57915815205	590827.3118210095	629590.5620223848	811507.6190675184	859390.028818922	855758.2377298878	704717.2518966292	631332.2732729188	521795.3833720134	814539.5109017835	697943.1910875242	622646.2903053336	832452.2997887052	973505.573003808	894512.858424001	561282.3347298388	530105.2572172317	803390.0393997462	474617.5269366175	628002.9171481314	769736.8191176975	703131.809517385	901723.1269129642	548798.7468926102	568044.6966254939	778509.3472340828	588005.8391999593	596725.8666256036	601765.3089127006	938751.883211002	478551.38153315324	773952.8568904897	708917.5058006181	729512.3388293337	666896.7164120293	566032.2889380209	1047277.3475332763	931611.6147753868	737721.5749406642	807562.5070849761	594002.1047919366	781311.3169813057	740495.0880788268	636150.9740289036	975838.1415138532	868465.4330574075	642326.5985519331	749032.0263004056	712754.9866536919	357476.11587251915	480007.6846061231	416302.7753280019	771321.4434427923	F2236	268.2712	234.45	232.88	236.03	5961.0	43136191.0	0.81	0.97	63.0	61.0	1.0	False
260	623751.9108444089	575462.3787868351	716960.6458646382	670906.767125305	830622.0406862564	1011844.3647289819	791553.0499263688	724897.6210381775	602959.6495734231	765085.2603441384	740733.0686135632	667755.3624918828	570556.4041728745	931422.8453767763	1015191.2055208603	925260.8627495478	753479.4770498518	552064.099575921	922850.1173387424	567217.1844863979	710525.0818517671	860424.699256329	694939.4084938756	930692.7081851372	755549.259273731	645374.2175787055	803792.9649024309	483106.2954044382	630260.9939772768	675708.2731053903	915521.4928958213	619296.2816996041	638938.2992264201	695327.8711425727	789919.1818275065	711879.2240021824	770918.9898531626	1210988.723394869	998662.218777462	968122.268620316	1043165.5433297192	780684.1659037803	879702.8717109136	818139.2785073695	574878.0518781008	1065537.350619832	994096.6518315563	797699.4324058583	857117.6217169537	831342.4243221683	392187.74257792486	529289.0187858792	421788.1395097358	747330.0117595457	F2237	268.2712	241.32	239.84	242.9	5961.0	46673230.0	0.81	0.98	63.0	61.0	1.0	False
264	2724554.5028564124	3746713.3356931647	3465563.261442054	4837726.526750244	4918208.902836792	7281114.550883908	3095668.219029706	2260840.0824702424	5705257.766745303	1085544.9452880623	5890211.484824566	1969592.0654153626	5144387.274899475	3765430.2921215217	3085298.514700299	4528293.9166298425	6883678.843234528	2631048.054237347	4318117.034092787	2950785.632823182	5122073.924454014	6764729.340592321	2778904.2893629055	1520729.376607744	3826188.1700787456	1031939.5610641788	3057874.881839609	2057064.6694235527	2643067.2415604005	4489273.006570196	6184986.048261013	6438174.057280338	5644611.471031242	1649465.3152088085	3478606.843593436	3703063.7187745087	4693492.433581451	8067896.38529975	4356718.883045183	2873461.8049012776	2007506.2752457939	4047457.276970176	2990985.6859741253	3868578.6817246336	2445738.755216566	2715006.612286747	4407597.798316864	5405557.664743369	2411070.680687402	4370619.25610854	4981285.794824537	4622677.601945253	3855740.768910619	3155945.5978932087	F2275	170.1731	0.79	0.11	2.37	2136.0	220421300.0	1.0	0.95	1322.0	59.0	1.0	False
280	8078447.754512182	8123428.314121701	5821847.86813393	7068171.28618678	19778691.680466253	14241242.926091002	7419554.936970805	8285033.816582272	8804084.810812723	9825438.9110118	23864312.45215996	2589712.1332024653	15953146.82837157	20727964.0863705	13546979.899235362	21081010.882139303	16874942.736536086	5663893.902369834	9413990.679341959	7413811.596557225	14351450.823138714	22252377.313567385	3553656.3022536733	10522351.693236282	24192888.25053621	10814216.015935618	15394681.654919175	16405282.675246755	17686152.56960225	19156277.074272603	30515818.963745337	14004863.619392453	17329815.92474984	9337275.167863887	8829029.974562848	8071777.586828536	16833850.49545069	21614547.01721359	2763250.2642860767	4933816.992772983	21482976.98377551	4695718.553624259	10666644.963500869	33305207.7230155	12243926.650379566	12388533.812926719	13213509.756369166	11638811.966283256	9842174.133939054	13027273.591598688	10928391.001341872	9130198.98646444	6899462.225732966	4754301.110328946	F2338	218.9196	22.14	20.57	23.72	4045.0	737040132.0	1.0	0.97	827.0	61.0	1.0	False
288	23876440.676365618	35891256.20926213	29791767.189833224	28952780.18728202	22644649.61249835	27691779.23124715	61572143.344285205	28705449.651123475	24278105.484560933	31797032.080561206	2409235.997023043	25470964.29125623	6691882.207324263	6568626.210109796	12974941.366052218	5853991.070689742	6178432.546649209	4989334.381692446	3673559.810855714	6167459.93956958	2181517.692853681	7723234.3463577265	35798069.9667676	3486748.1665915595	0.0	8299397.005899474	7317746.207744962	3518929.6774156606	3643725.763559937	2913698.796130137	2502514.7615703032	6662863.551592922	4879565.107862598	38208558.59942096	9987452.293272391	5757687.297359168	0.0	1973582.4082507396	10443490.913114311	10795646.058480846	3646402.686278858	8575307.358367618	6167828.127686371	7673874.869823362	32220309.312301125	10843618.499929706	11611640.153114213	6721470.8669157615	13522040.322962496	6583891.5315766595	21401576.52429679	27069018.928569507	35531993.76959776	19074924.299498778	F2381	218.9817	22.8	21.22	24.24	4053.0	911676330.0	1.0	0.97	38326.0	59.0	0.9629629629629629	False
290	4550802.6123329	0.0	4269129.051971666	4181536.410385801	0.0	0.0	0.0	0.0	0.0	0.0	4999869.140171408	5392605.904201134	5255039.135245072	6741546.211579552	5954514.7548851175	6309222.115006946	0.0	4474529.132557795	5886036.005442851	4675571.524089019	4100966.850641218	6611645.498859694	4187539.855129603	3435422.6619331916	5770703.646898046	4913757.729274139	5321681.471384862	3316440.48602219	5304811.369564751	5884801.760941786	8782328.96663057	6876577.878872739	8138172.573311367	5332474.787699005	8220527.7856983775	7529459.98019749	6558522.190514995	6152700.689219299	8062340.8596061375	6095356.824522621	8421762.655358534	5178664.941631993	7666186.221734755	8806225.935788427	6087702.88199797	6574513.2515338445	8332366.632177051	6390961.2309410395	6950453.931624982	7233620.670807654	4016607.775265261	0.0	3440262.9479280408	0.0	F2390	269.136	24.51	22.93	26.23	5988.0	295334382.0	1.0	0.99	4848.0	50.0	0.8148148148148148	False
293	476496.28450034105	3746833.3670856236	0.0	27363.63874020074	3095710.276158138	2716043.9927142975	2505793.7223228808	2483748.0749010746	3650931.3410993707	2302555.169561509	480114.99207492376	229955.95343985467	465325.4486202384	1140638.0692962406	926551.8973391685	785488.5064115624	4365300.534731792	0.0	293959.38125801715	526459.0581155769	1464919.1761094872	1167944.6696038223	490799.763407977	1532938.8476314757	995685.0405197898	1088929.3928123119	1322604.1600245053	1091956.6237364013	991242.9598801166	1166901.5712537717	0.0	0.0	278463.9938334871	81623.85032785703	802970.716142865	433548.9759657056	437720.91340190306	361271.3469967323	117889.2894930444	160917.78050184972	313557.5136402145	1008164.6945179193	916362.6801112386	532761.3748406827	0.0	261284.46528244298	1145094.2630906983	0.0	923552.3851192143	229636.8380877032	1013835.8452442286	2514943.907841083	196551.41887962047	0.0	F2407	269.1388	26.37	24.9	27.94	5989.0	53845339.0	0.72	0.79	34.0	54.0	0.8703703703703703	False
306	5421560.230752375	4541113.9120703805	5482567.646044944	6738263.400314848	4986168.321023801	4735409.828352921	5433915.34975285	4832572.634113833	4213274.053475156	6231043.130030318	1809399.7033590663	7522451.502185167	2109742.641626131	2093565.8488650206	2892788.9213075675	2634007.5114926253	3214512.7077037464	54930.68210828085	426260.0425028877	612795.1500024219	515757.21042563	1349680.5129490609	5741749.717839954	101159.90342166097	143955.2057583083	403555.0399688465	224803.16586742798	78689.8580088664	227892.89453582134	248911.76108646634	1072691.0430205807	754031.5285197556	1635237.5515608191	4319408.43624967	1015135.9851278486	1085125.3921424095	1226324.2174382256	217542.18946423216	1851941.5869483636	761361.6988703925	272548.60891839355	1176961.4323429812	400564.2505677089	907402.1708523313	5805411.835059475	2092333.2809450473	1850755.6828045931	1713753.2466621625	2652738.90363335	1585862.1276955453	6816391.742349324	6569194.528643095	4428271.624657545	3313394.159682583	F2499	219.1127	21.88	20.3	23.33	4071.0	148909368.0	0.97	0.92	46.0	59.0	1.0	False
307	3343792.5529099684	3709915.274197214	4035745.481290167	3921144.152551597	4469434.916986336	3777980.9021777827	3719566.557477915	3300482.638619851	3646957.3290219195	4343648.98263672	1258743.0445089764	5193147.131592899	1458761.824354862	1386095.9023841422	2089472.4221691042	2283663.4083443694	2213286.02539888	47116.82615458946	338219.0754978079	454782.75398893404	493551.4397777703	1086754.4036781883	4810624.866188319	55817.48616346849	124061.08597654187	567302.778218699	791526.0330798643	338022.1287942651	668509.950929636	254759.42539962803	260648.18443648412	1092297.1193206643	1386627.146859725	3461664.607454042	1007505.5243844772	991148.5722582648	816793.8273850961	713821.374347665	1611026.0279393943	1163344.377492663	662075.2169737479	1150058.7936997144	462922.3988882593	797959.107703664	4270436.142986739	1627273.2701113587	1801653.0247927674	1293191.3224078163	1675607.902398654	1700457.128210504	4166148.856102972	4304073.92712792	3936730.5050223437	2470542.499206166	F2500	219.1127	24.51	23.33	26.23	4071.0	114613519.0	0.98	0.96	37.0	59.0	1.0	False
