m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
293.045	391.61	0.022366956234137154	-16.159970928636614		-6.906696000533962		
324.9912	367.58	0.007332772428784934	-23.022411564923324		-5.075216156899552		
253.0865	305.54	0.000549171404370666	-58.072082304716666	C9H14N2O7	-5.952564040256146	N-Acetyl-serylaspartic acid,Aspartyl-Glutamate,L-beta-aspartyl-L-glutamic acid,Glutamylaspartic acid,gamma-Glutamylaspartic acid	kp1297_262.0805
317.0991	349.2	0.005160120043580624	-27.845512883747205		-2.4621601776619926		
