m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
193.0647	275.21	0.0007324490824286261	-16.433328754919277		-1.6219892860159426		
172.0354	270.35	0.0013640407832865744	-12.758425185420297	C6H6N2O4	-2.24349411615675	1,5-Dinitrocyclohexa-1,4-diene,1,6-Dinitrocyclohexa-1,4-diene	kp477_170.0322
189.0591	300.81	0.0013640407832865744	13.132624766603483		2.375179875076224		
399.1443	312.11	0.04215559345676226	-6.769987049992542	C22H24O7	-1.3252470250031578	Hemiariensin,[2-(4-Acetoxy-3-methoxy-phenyl)-7-methoxy-5-methyl-2,3-dihydrobenzofuran-3-yl]methyl acetate,Italipyrone,Isoyatein	kp3530_400.1516
535.0375	362.33	0.016268733951922795	8.107610059234494	C14H22N2O16P2	0.9433850529625154	UDP-D-Xylose,UDP-L-arabinose,UDP-D-apiose	kp3829_536.0447
475.1902	251.65	0.0025435604462033055	-11.138310874839885		-2.852522764995477		
