m/z	rtime	p-value	t-score	custom_id
165.0755	315.04	0.13905195892625988	-2.9378916927229186	
165.0772	27.54	0.19783464458728262	-2.350111173366569	C6H13NO2S,C6H13NO2S
204.0243	242.45	0.6691613864029956	-0.6429751247329569	
165.0909	27.67	0.3763290955752426	1.3944066974853575	
127.0998	146.34	0.5240002154970268	0.9496483273775498	
127.0998	156.84	0.25005860726822515	1.9493800487343544	
127.123	203.48	0.8459608040417493	0.29995020177319587	C7H14N2
204.0866	356.04	0.26028763849766695	1.8775727775003734	C8H13NO5,C9H17NS2
204.0978	318.46	0.17759757198473786	-2.5163366109709977	C7H13N3O4
204.0978	332.17	0.031839133374390476	-6.78476317545599	C7H13N3O4
204.1058	307.69	0.12040502845218423	-3.1752652817258875	C8H14N2O4
204.1174	217.3	0.2603611091747289	1.8763519842499186	
128.1264	203.22	0.7854426175337089	0.4152889087240865	C7H14N2
204.1423	28.59	0.1601097519091987	-2.6813892627091778	C9H18N2O3
128.9326	1.18	0.9600965017215994	0.07666582592453844	
165.9302	207.69	0.43533778797364203	1.1923129200963698	
165.9651	6.99	0.05827174512036625	4.8876454124742	
204.9673	207.29	0.7838715962779916	0.418483542268659	
74.0594	29.12	0.9181929594128057	0.1666892714569331	
166.0697	27.54	0.2918513318188117	-1.7263576464290273	
205.0559	294.13	0.3467321156871768	-1.5047444753078396	
205.0682	197.55	0.7939229726365366	0.4005650486819751	
205.0682	215.86	0.2528880661951502	-1.9256674266053955	
205.0818	355.22	0.6434819047062253	-0.6960120055351735	C7H12N2O5,C7H12N2O5
205.0818	372.75	0.2705272469256171	-1.819891458454047	C7H12N2O5,C7H12N2O5
205.0899	356.04	0.16534890139149036	2.6340868332751137	C8H13NO5,C9H17NS2
205.0971	166.16	0.4302915681686713	1.2086746012768292	C11H12N2O2
130.0651	166.56	0.4359671926504594	1.1901709331609982	
205.1182	261.58	0.38059495925578973	-1.3766872942600108	C8H16N2O4
74.0731	216.65	0.10707924175868828	3.4050273808066476	
74.0731	265.39	0.3717822353619923	1.4168337862085232	
205.9437	207.16	0.11370022612559919	3.2815816502059354	
205.9437	213.6	0.2623316986380005	1.8650295519139273	
205.9437	216.39	0.3414773771178539	1.520642353488037	
166.9506	209.0	0.2723152819482502	-1.8110536650302327	
130.9297	1.31	0.8953924411731616	0.21349036732284607	
131.0338	324.4	0.05640854097489528	5.013763792559065	C5H6O4
205.9956	256.7	0.6781520768481747	-0.6271348519101656	
74.0736	161.57	0.9622295793972994	0.0699710279518883	
74.0736	239.92	0.38629301503171753	1.3611109815012847	
131.0702	27.67	0.14862486481102966	2.812684955590443	
131.0815	254.71	0.15152863635949235	-2.779419149850326	C3H7NO2
167.0831	167.87	0.4702861620147226	-1.0931874700897561	
206.04	205.45	0.026923365949373185	-7.382513122722827	
206.04	222.16	0.09865622267478003	-3.60837836865324	
206.0716	197.55	0.7240546037484425	0.5337950753433057	
206.0716	215.86	0.23594339997050756	-2.092094815070936	
131.0855	26.23	0.8933720636348487	-0.21706867079627945	
206.1004	166.03	0.4934369326994676	1.032089983146704	C11H12N2O2
131.1179	273.04	0.9811537048252491	-0.03592026989549049	C6H14N2O
131.1291	364.71	0.07832571279479439	-4.16262197954845	
206.1216	261.58	0.3384012619261365	-1.5345472838316445	C8H16N2O4
168.0655	47.5	0.024401354401205007	-7.935442419325334	C8H9NO3
206.9695	1.44	0.15238977011085178	2.7680092727470704	
168.1263	146.86	0.2934894998326443	1.7209531403297826	
132.0655	251.56	0.03615649438658831	6.300996270422799	
132.0655	255.78	0.10345099964006835	3.4917604802662754	C5H9NO3
132.0655	301.78	0.2460667713309553	1.9917893131753257	
132.0768	259.45	0.10225632417125466	3.515498141308962	C4H9N3O2
132.0808	27.93	0.7010610624785573	0.578470675425856	
132.1212	273.04	0.8704814519419445	0.2596379768219294	C6H14N2O
207.0798	243.37	0.034970248930222415	-6.420332710509824	C7H14N2O3S,C15H10O
207.0975	300.86	0.267930383581944	-1.8314968344476374	C7H14N2O5
169.0844	173.25	0.30349395850584376	1.6788234314517843	C4H12N4O
133.0688	256.17	0.2460667713309553	1.9901491562783393	C5H9NO3
169.0858	27.8	0.265262587446845	1.8425127755262907	
133.0799	259.45	0.20966877472194242	2.2624411948420313	C4H9N3O2
207.138	26.49	0.17323792772805163	2.5591327819130365	C13H18O2
207.9911	256.7	0.4809631805076921	-1.067160449204017	
133.1012	25.18	0.4195138348461487	1.2467566492663626	
208.0141	207.69	0.2989960716558446	-1.697672924239871	
208.0694	197.81	0.3806887615660358	1.3755528852678551	
208.0694	217.3	0.5615491661468284	0.8662882429300648	
169.9857	220.85	0.03853883447195263	6.099515275100628	
170.0599	166.03	0.46851147692306694	1.0988288064729608	
170.0615	277.67	0.39109416447202894	1.3438013799177442	
208.1009	301.26	0.18075825874028575	-2.483884208704103	C7H14N2O5
208.1161	168.4	0.29937288780187615	-1.6953708394720588	C9H11NO2
170.1231	146.73	0.32908487945861564	1.5761345063391412	
134.0188	256.57	0.2460667713309553	-2.003329924033574	
134.0812	33.32	0.1554594107243096	-2.7349330956489832	C5H11NO3
134.0812	41.72	0.026079252687959534	-7.696172803823797	C5H11NO3
77.9273	209.53	0.2161673340501663	-2.221981512660942	
78.9562	206.64	0.6467031458605352	0.6895456088683226	
78.9562	213.07	0.372111310419513	-1.4148038863678678	
171.1015	25.18	0.5894435664473834	0.8045540458617824	
80.9935	209.26	0.9364118616073667	-0.1273261661702764	
171.1379	25.7	0.44658428617330176	1.1621933708314705	C10H18O2
