m/z	rtime	p-value	t-score	custom_id
165.0772	27.54	0.4177124597510208	1.595066064724359	C6H13NO2S,C6H13NO2S
204.0243	242.45	0.7679340332206221	0.5606161378798844	
165.0909	27.67	0.7758327201862735	-0.5441050963236701	
127.0998	146.34	0.8937651542128786	0.28160867281953417	
127.0998	156.84	0.35498568110985473	1.9775906953598956	
204.0688	200.46	0.9659231955777847	-0.10625105744680062	C8H13NO3S
127.123	203.48	0.1580493805708668	4.122744482612146	C7H14N2
204.0866	356.04	0.7536977175111196	-0.5926462270348956	C8H13NO5,C9H17NS2
204.0978	318.46	0.3872428664881208	-1.7482188946002848	C7H13N3O4
204.0978	332.17	0.13563044008871078	-4.586569263345634	C7H13N3O4
204.1058	307.69	0.27177662001873354	-2.771988305801212	C8H14N2O4
204.1174	217.3	0.14646619213440984	4.305921683849146	
204.1383	52.88	0.35498568110985473	1.9825371373318095	
204.1383	54.33	0.35498568110985473	1.987495663216296	
128.1264	203.22	0.18933483153128988	3.6394914242185044	C7H14N2
204.1423	28.59	0.5827583285507807	1.0486850834505088	C9H18N2O3
128.9326	1.18	0.4948120837697926	-1.3085275905289926	
165.9302	207.69	0.590956171543941	1.030646065812741	
165.9651	6.99	0.6281258275634833	0.9182396738246318	
204.9673	207.29	0.16558015274585253	4.013021832959805	
166.0263	319.38	0.6369428251218092	0.8941769287984053	C3H5ClO3,C2H5O4P
74.0594	8.83	0.3588555731061769	1.8902427091137044	
74.0594	29.12	0.9211296323142196	0.22066773670150605	
166.0697	27.54	0.48792016629072543	1.3368838523482198	
205.0641	147.12	0.35498568110985473	1.9985457934525586	
205.0682	197.55	0.5299513456910387	1.2078623326004028	
205.0682	215.86	0.9246922949022663	0.21152369482458555	
205.0818	355.22	0.6543827633160095	-0.8546140134594448	C7H12N2O5,C7H12N2O5
205.0818	372.75	0.650336912568081	-0.8643624842690649	C7H12N2O5,C7H12N2O5
205.0899	356.04	0.5493958050439245	1.1466488747763712	C8H13NO5,C9H17NS2
205.0971	166.16	0.9060163192635957	-0.2594225665926514	C11H12N2O2
205.1012	318.46	0.40108720856100094	-1.6771702578911862	C7H13N3O4
205.1012	326.76	0.5493958050439245	-1.1471385084894656	C7H13N3O4
205.1012	331.78	0.23988353370401017	-3.0320019629489767	C7H13N3O4
130.0651	166.56	0.8067180978584082	-0.47154104820403947	
205.1182	261.58	0.9615379094871097	0.1264847782788079	C8H16N2O4
130.0689	272.25	0.7020476352958899	-0.7116782446666079	C6H11NS,C6H11NS
205.2296	212.02	0.3586841755319353	1.9194151563583328	
205.2296	213.99	0.35498568110985473	1.9992466444842956	
74.0731	216.65	0.6564009535982896	0.8488411007340181	
74.0731	265.39	0.8835554312130635	0.30759574397715783	
205.9437	207.16	0.21814225555381947	3.231513536033952	
205.9437	213.6	0.35498568110985473	2.082033763262973	
205.9437	216.39	0.11057211351960493	6.172064143114806	
166.9506	209.0	0.5593326663273799	1.1176333417371755	
131.0338	324.4	0.19845665638871093	3.511801006930139	C5H6O4
205.9956	256.7	0.9786937141184393	0.06847997446632773	
74.0736	161.57	0.3547306026635462	2.2190846949796534	
74.0736	239.92	0.8684229816787722	-0.3427818911660992	
131.0702	27.67	0.40667531575728577	-1.643540111198149	
131.0702	272.39	0.04328615270374183	12.080468353226717	
131.0815	254.71	0.25922645920344917	-2.8864596194629915	C3H7NO2
167.0831	167.87	0.39705932235494	-1.7017876266529806	
206.04	205.45	0.12041736606145557	5.058534525056707	
206.04	222.16	0.5813658878254284	-1.0559857054919308	
206.0716	197.55	0.5223162848984505	1.2292836895107986	
206.0716	215.86	0.9701171324765763	0.0958509978474437	
206.1004	166.03	0.9060163192635957	-0.258582197328544	C11H12N2O2
131.1179	273.04	0.09652460808565075	-7.400067870395546	C6H14N2O
206.1216	261.58	0.9523438831177884	0.14794457851960865	C8H16N2O4
168.0655	47.5	0.9129215712379207	0.24275765478004194	C8H9NO3
206.9695	1.44	0.3586841755319353	1.9177967095209372	
168.1263	146.86	0.8407019030807474	0.4006055512804076	
132.0655	251.56	0.11144992442179001	6.0906755270779005	
132.0655	255.78	0.20298580073238093	3.470348920141697	C5H9NO3
132.0655	301.78	0.10892681963025877	6.356525131626432	
132.0768	259.45	0.7711936598025749	-0.552578813549061	C4H9N3O2
132.0808	27.93	0.28239952085537695	2.689663559051763	
132.1212	273.04	0.35498568110985473	-2.130407571756123	C6H14N2O
207.0724	197.55	0.7542503916682197	0.5903621630140728	
207.0724	216.78	0.9852494593036363	0.03821467678717334	
207.0798	243.37	0.12041736606145557	-5.214515895062559	C7H14N2O3S,C15H10O
207.0975	300.86	0.35498568110985473	-1.9534623713349133	C7H14N2O5
169.0687	47.63	0.9128887209577067	0.24366069324401815	C8H9NO3
169.0844	173.25	0.3643703274481829	1.8569784036174612	C4H12N4O
133.0688	256.17	0.35498568110985473	1.9999995954115464	C5H9NO3
169.0858	27.8	0.1849955455412127	-3.7074972419510193	
133.0799	259.45	0.8097082584413479	0.4643146004762599	C4H9N3O2
207.138	26.49	0.7287117727953152	0.647921620845221	C13H18O2
207.9911	256.7	0.984523990216391	-0.04857477489044048	
133.1012	25.18	0.777110273544029	-0.5394558297717008	
208.0141	207.69	0.590956171543941	-1.0287023160558733	
133.1078	174.7	0.6710697736538119	0.806480515507281	C4H12N4O
133.1078	180.87	0.881886314345199	0.3114025135389972	
133.1078	185.33	0.6876918595950319	0.7522271214166627	
133.1078	189.4	0.6929103029612038	-0.737787702729683	
208.0694	197.81	0.3582966720585998	1.927356210156398	
208.0694	217.3	0.4564245123609566	1.4520544542055809	
169.9857	220.85	0.24748204712061922	-2.9635949768308243	
170.0599	166.03	0.9786937141184393	-0.0684124502409246	
208.1009	301.26	0.35498568110985473	-2.1724400131375337	C7H14N2O5
170.1231	146.73	0.9378814223563088	0.18322338091041113	
134.0188	256.57	0.8190703046307847	-0.4431109926509131	
134.0812	33.32	0.3423979515491324	2.285726134992828	C5H11NO3
134.0812	41.72	0.3378049023382901	2.3185620421227804	C5H11NO3
77.9273	209.53	0.5406407047540137	-1.1735402962959334	
78.9562	206.64	0.4029820667064139	1.6638236984273351	
78.9562	213.07	0.5406407047540137	1.174364683272276	
171.1015	25.18	0.7178142529499714	-0.6748166222117035	
135.0301	174.96	0.8145789009781846	-0.45390461452984027	C5H10S2,C5H2N4O,C5H10S2
80.9935	209.26	0.8361550540689398	0.4079871275207474	
171.1379	25.7	0.6970387688652011	0.7268755395129751	C10H18O2
209.0727	198.07	0.3663661758037749	1.8378847917190806	
209.0727	217.17	0.3871398100987949	1.7511861529846646	
172.0715	306.25	0.7028992588375077	0.7089230301761297	C6H9N3O3
172.0715	314.91	0.5826538403256759	1.0505589507399657	C4H6N2O3
135.0845	33.45	0.3547306026635462	2.21919230711369	C5H11NO3
135.0845	41.46	0.5808611365338295	1.0596722259843652	C5H11NO3
81.9883	209.39	0.9060163192635957	0.2562989532559849	
173.0557	339.92	0.18669943349754237	-3.6863366755525773	
136.0757	168.92	0.310599426175644	-2.442197289655885	C8H9NO
210.1096	146.47	0.3435944627165009	-2.276814032936924	
173.0709	27.01	0.35498568110985473	-1.951471953924645	C8H5NO
210.1416	28.07	0.1314137871269673	-4.691509100097238	C9H20O5
210.1577	410.79	0.35498568110985473	1.993198428408822	C9H21N3O
84.9117	211.76	0.5844726693463841	1.0431505096809128	
85.0289	325.05	0.35498568110985473	1.9994044593717495	
136.94	209.26	0.9129215712379207	-0.24241530210006237	
173.092	297.32	0.35498568110985473	-2.120803319414751	C7H12N2O3
137.0415	200.86	0.18237182136030283	3.7573719345449272	C8H8S
211.0769	197.81	0.36287900713484	1.8637531766196114	
211.0769	217.17	0.40888076683243163	1.630020161072225	C11H11FO3
137.0594	28.07	0.46324226561964144	1.4156678695679554	
173.1284	178.64	0.34391830617193375	-2.272119446618539	C6H13NO2
137.0709	200.99	0.08868797348792212	8.131375284902571	C7H8N2O
173.983	224.66	0.48144010532295	1.3579153589900554	
174.0136	225.58	0.7866221767819752	0.5213934768453282	
174.0386	145.81	0.25922645920344917	-2.8861641719205333	C5H5N5O,C5H13NS2
137.9433	209.39	0.826085551994051	-0.428742012056956	
138.0549	355.65	0.8888149874823503	-0.2956714680211053	C5H4O2
138.068	200.99	0.10892681963025877	6.697325132520093	
138.0742	201.12	0.06177888543864675	10.229935144892488	C7H8N2O
87.0445	282.94	0.25407661051953556	2.9143190879346244	
174.8958	207.29	0.6743278004598398	0.7920452378283381	
174.8958	212.55	0.6172255713767271	0.9558578737816341	CK2O3
138.9194	207.42	0.49563550080732094	1.305183022199835	CK2O3
138.9194	212.28	0.8574484421129515	0.3690919371338561	CK2O3
138.9381	209.39	0.8108693303925121	-0.46113462657042786	
138.9441	209.53	0.6710697736538119	-0.806582265167252	
175.0419	145.81	0.9523438831177884	0.14883522100402918	C5H5N5O,C5H13NS2
212.0641	315.57	0.35498568110985473	-2.191886074735144	C6H11N3O4
212.0641	339.92	0.21447055429954723	-3.3105490215359925	C6H11N3O4
139.0583	355.65	0.29304732334366007	2.585910959453608	C5H4O2
175.0866	32.92	0.46588149421163305	-1.4062806917940889	C10H10N2O
139.0753	200.86	0.12041736606145557	5.191731924197404	
139.0777	200.99	0.04620139844176096	11.673375729949106	C7H8N2O
175.1077	246.43	0.37449447259978186	-1.80410364391584	C7H14N2O3
139.0977	202.43	0.14706368378697468	4.290505481340904	C6H10N4
139.9146	207.56	0.35498568110985473	2.141524230789606	
139.9146	212.41	0.4824506458999887	1.353240989569565	
139.9415	209.26	0.964991044396068	-0.11223244467639476	
140.0106	265.26	0.4628489024488952	-1.418972364141558	H3O4P,C2H3KO2
140.0106	349.54	0.35498568110985473	-2.019411577898866	H3O4P,C2H3KO2
