	Pellets_1_HILICpos	Pellets_10_HILICpos	Pellets_11_HILICpos	Pellets_12_HILICpos	Pellets_13_HILICpos	Pellets_14_HILICpos	Pellets_15_HILICpos	Pellets_16_HILICpos	Pellets_17_HILICpos	Pellets_18_HILICpos	Pellets_19_HILICpos	Pellets_2_HILICpos	Pellets_20_HILICpos	Pellets_21_HILICpos	Pellets_22_HILICpos	Pellets_23_HILICpos	Pellets_24_HILICpos	Pellets_25_HILICpos	Pellets_26_HILICpos	Pellets_27_HILICpos	Pellets_28_HILICpos	Pellets_29_HILICpos	Pellets_3_HILICpos	Pellets_30_HILICpos	Pellets_31_HILICpos	Pellets_32_HILICpos	Pellets_33_HILICpos	Pellets_34_HILICpos	Pellets_35_HILICpos	Pellets_36_HILICpos	Pellets_37_HILICpos	Pellets_38_HILICpos	Pellets_39_HILICpos	Pellets_4_HILICpos	Pellets_40_HILICpos	Pellets_41_HILICpos	Pellets_42_HILICpos	Pellets_43_HILICpos	Pellets_44_HILICpos	Pellets_45_HILICpos	Pellets_46_HILICpos	Pellets_47_HILICpos	Pellets_48_HILICpos	Pellets_49_HILICpos	Pellets_5_HILICpos	Pellets_50_HILICpos	Pellets_51_HILICpos	Pellets_52_HILICpos	Pellets_53_HILICpos	Pellets_54_HILICpos	Pellets_6_HILICpos	Pellets_7_HILICpos	Pellets_8_HILICpos	Pellets_9_HILICpos	id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	percent_inclusion	blank_filtered
1513	3928388.1962341624	3553010.500264118	4591657.7098117415	4403909.348352864	2316076.6805581725	3029828.9045579447	2919582.541893692	2787572.652067432	2967004.633823718	1822931.1459961946	3138968.975975108	3452035.1079916935	3632153.005470526	2771821.536151514	3042238.1649063593	4045962.499470144	2287719.506598756	3972378.1355928495	3961041.2357141115	3102700.710848105	3201158.0420199377	2860039.8408895363	3920265.9337739157	2572003.5486459234	2677446.4737283597	2991771.8748003333	3246982.2418253655	1815586.2315064147	3536164.6159301167	3452198.6279373406	2634222.9676278853	3269933.6282293666	2833512.28718251	3718133.087905257	3468976.6385060567	2452880.9484866746	2325045.3508910662	2522513.7521995464	2764190.6758662974	3525781.89070099	2095554.4004928519	1997509.3123463935	1731788.4066334201	3074073.8719282974	3993232.564400492	3526328.0138222557	3441992.911000987	2480792.913473729	2355642.002749196	1280936.3160021454	2877574.088847351	3275633.926406526	3694364.642165255	3027846.397803969	F8905	204.0243	242.71	241.14	244.29	3746.0	206587932.0	0.92	0.99	2604.0	59.0	1.0	False
1514	834367.6418302178	474200.9517291292	1400687.5208203767	1532754.5598978852	953308.800620342	548580.7395331196	682570.0403365834	839480.6307088416	540942.6762940303	660646.5229770014	848227.1935134975	754259.0437766095	1168402.043153195	613126.6223920602	856184.112828795	1435380.8841932297	858609.698822698	1370268.9512241639	1184515.7547478864	798441.2385346844	1036137.7927810207	897925.7962493832	805108.8088923666	855047.4900733107	1255417.792145352	952381.378504659	667866.8499930579	422981.5766881207	865323.2360115641	706530.7590553033	644545.6672219932	913275.582767174	624217.7804464593	1031108.3492019785	1002329.2508457273	768565.3377362256	596478.7702413794	523604.5353856049	841601.8913654903	941556.377095468	425391.36428934766	411565.1765806984	223462.32530777584	616597.0156168627	1056309.5963703804	971928.9408574481	882813.1856825012	637500.1963283228	609962.7331636327	395470.07732990815	1169155.140427331	872226.0929056524	899398.716190184	877500.6240615693	F8906	204.0243	246.95	245.34	248.4	3746.0	59942016.0	0.72	0.94	736.0	60.0	1.0	False
1515	54396807.25116258	81918077.47496837	95352295.74758509	96467073.01562268	117876886.9005071	79921369.16304782	93041391.77720778	85025640.03188471	92291239.11624773	166498735.18194166	11023939.389808783	60829164.08298705	8377674.200293331	9081202.769738043	7765655.590296578	7764723.243102378	7698198.221310694	11900150.682570128	14462062.115163013	8755620.519513292	9509047.18440456	10344933.045107963	58989657.453568295	11734663.058389148	1106916.580221043	12893620.200656386	10373898.020939931	10433818.683084482	9597640.545201436	192903.00480827052	9946864.601669462	14692595.934748989	12215744.8727775	82697024.36340714	5434185.024196083	9098690.116728133	11603343.56219297	1730034.890878661	7280201.650200451	8555428.756296316	2534114.934562087	6853898.280887694	5337517.490978215	7747435.324625571	78461236.90852183	7282587.150048593	7848715.595494958	4517384.191124148	4831137.513441641	12986081.870252637	105650070.41926365	111249442.74279834	128445774.10151674	89665443.31975366	F8908	120.1021	198.6	197.02	200.17	1146.0	1364114295.0	1.0	0.92	56.0	62.0	1.0	False
1524	1232557.5413050426	814048.5410333772	638958.7857291183	946750.3055456326	891318.3581998383	679509.5771775281	635921.2248231589	1091712.8288491482	1289859.3482664325	847271.9539603605	2093585.3722563616	1244821.5218104387	2165713.778697008	2095635.3347466039	2161314.759455832	1976196.8716207491	2233398.104760332	2715252.6117836162	2591920.74138291	2108621.515904147	2117407.4191938	1851288.2804473422	994466.7903524962	2230126.1344029647	2187226.864572793	2093365.0744553842	2283595.6277869404	2269833.9940157235	2963156.7612558953	2093600.4822378429	1970574.9962099218	2174752.3135001278	2239297.626846905	941980.6264762654	2366362.481298818	1490902.387480913	1771889.2845875449	1310374.0483812313	1694250.1226229996	2171223.8617429896	1495442.10207567	2033395.453687529	2387491.9773469334	2158416.9758524117	1152688.099556497	1469734.2173482277	2387955.189765407	1960686.2440418648	1300437.2412576328	2285061.933621373	1230802.5297645314	1018371.7148776981	867095.5477949505	715181.6611978421	F8954	165.9302	207.95	206.37	209.53	2482.0	102737166.0	0.85	0.74	324.0	59.0	1.0	False
1525	761089.6794278336	881146.4448042476	627391.4650448245	734254.8607227433	570541.4062883859	606033.4894824537	705704.1673945504	1070357.2548766609	653825.0721060655	554404.6426656055	961015.0240957045	1028571.3528349168	1475702.7411775247	1584276.5508364788	1286449.649918654	1356666.0758459077	813900.4178523795	1939291.9068923485	1509172.7601755825	1128186.5235179507	1081964.111485986	1800102.1274037429	1236197.0621465852	1402207.218120663	2296977.5035488275	1660827.082298496	1411335.2134485662	1333925.3228996564	1364557.2217657845	1841983.226514566	1217937.5832580975	1334782.059070416	990316.3616462377	974001.9876031618	1849022.996650325	1135444.1752008686	651973.4723281364	1537805.74371751	1110542.3372380745	1125656.251107995	1274031.6378896881	839156.1831221267	718818.8839683814	1152527.5541627286	1109052.560066829	1679255.629812215	1583989.345411813	1149814.7782762651	1145139.3592379694	1251144.8366650036	763347.3329388165	631547.0116366678	1066629.7796568058	529481.929828912	F8955	165.9302	212.28	211.23	213.86	2482.0	71473801.0	0.78	0.9	670.0	59.0	1.0	False
1527	68068060.58212055	61938866.954353616	67745467.74214254	66048320.45844589	59762235.16530131	59259822.27677918	68687591.72906485	63187761.66116986	61540607.93669539	53301336.23756796	112959719.0400533	72438626.69974618	114633629.26825687	132959470.41923684	138961076.30823606	114415807.10320167	121235523.37318975	129071274.46352291	151751301.6619832	133759855.88036579	150430494.29825187	67140730.42226918	61903168.25122364	156808034.19251356	75958944.69392487	139175156.22720683	142054001.33249828	142661835.62543717	146116474.52989078	79401906.38329671	125967338.09603223	113613779.83396345	121047240.91738005	81381427.71661595	106861009.84419943	130329690.0366614	123482724.4606025	64278990.920549594	106501281.87032533	123645453.72554362	76303132.21056184	103658516.13072903	116298041.64162898	137728978.0244167	79026239.05062772	105020294.11344159	125870019.35799971	114159982.81611009	96625830.26614134	107714569.60052699	65026574.867855966	56090601.98681563	65117709.09004798	56063954.38629032	F8962	120.9663	208.08	206.51	209.26	1155.0	1732504427.0	0.98	0.92	31.0	60.0	1.0	False
1528	72442793.97796394	68662333.32281332	74303687.01525284	72424770.00808193	69030553.60794899	60354345.456360005	71118820.7353991	72105550.45825812	67535190.42210543	61833870.03316625	153302714.75508195	82308208.72182074	173355263.99629185	173797214.101372	153972078.51823077	169905492.31202394	140085284.30605265	183055744.12924597	171537432.54997563	161916146.90192905	157705013.33732095	187307656.28401992	71260362.99021983	171996201.53082132	222838225.3659275	160739568.52350622	166063279.46440667	160289650.7904148	153169142.52045724	236038258.8779393	164443070.58242813	134941668.83632278	125171547.73524255	91777296.06518552	188310941.2903379	159012880.30546334	117738718.71109898	191708064.40408683	154012361.08093095	143199087.7215545	161657403.36684945	122483567.1318046	113942391.95644638	156722289.14208004	87388995.628956	127014237.02373259	146611925.084852	125787115.88211553	118412755.85280934	131167012.72840995	71439005.06668352	59643020.252900176	67236328.01981471	55949908.60616209	F8963	120.9663	210.71	209.26	212.28	1155.0	2131975219.0	0.98	0.91	31.0	60.0	1.0	False
1530	322217.24010291655	316105.71790655795	0.0	379732.1578696871	0.0	0.0	340828.4090836384	452949.20384664234	0.0	0.0	1141753.5727638213	397722.7498584786	1095602.849195368	1137409.8460833551	1428076.524401301	929931.7537794337	764680.3663594747	1555248.011518502	1123129.2401643868	1318910.7571637917	1087752.6991118765	964902.3710374282	558358.8945307012	1607555.9375416704	1553796.5408774717	1386085.7249237418	1263780.74316626	1068353.9720213306	919909.2776860406	1199236.744268699	1587015.603303521	939153.0488921874	1299328.3268389166	740016.2462262886	1023393.3554451019	1093462.6933506485	888319.9566551553	810987.0259805358	745987.6706608012	829355.2163702202	1002821.3532839469	818349.6523823623	1073219.538080892	1060143.2620374395	420183.01240652404	984189.8744372957	847902.241906996	895925.8664117911	929421.2453002576	959884.2527115367	349570.4839658525	356062.4451437272	0.0	386629.69362696866	F8978	120.9873	221.51	219.93	222.56	1157.0	45761346.0	1.0	0.92	24.0	53.0	0.8888888888888888	False
1531	14652649.01431268	14835159.619282413	16855159.594689112	18513145.764789592	16336125.241140591	14275012.741373511	16878699.16058723	16595407.044329623	16137708.569724364	15909549.020627817	14485637.840184635	13551579.222606367	15231192.154650664	16232409.096294364	16941699.625457004	16703671.040969945	16724624.577518664	15836793.50369278	18636800.87460651	17522107.1331343	16264434.389196213	12980323.010531051	14434712.447262993	17949849.13379001	13346229.025002707	16754621.130918674	17277394.667215314	17814953.08371537	17041731.36876292	15443754.37002826	15329780.763438053	15604610.619814692	15884045.670534793	16472783.937481707	15825011.874757629	17723274.11606304	16242495.914287241	13233987.696271801	17472199.897757407	19679670.213588733	15187064.983956056	15768915.025990674	15643223.1584737	18414042.099461984	17312441.77117548	16036432.010161448	18241401.629477635	16086292.552119171	15005162.821036505	13388208.163093178	14171122.825782366	14221657.686886141	14840441.458095552	14749474.94966055	F8981	121.0163	209.13	207.56	210.71	1158.0	1095839672.0	0.8	0.97	358.0	59.0	1.0	False
1533	205774047.92029905	175554621.31874672	196116794.65784776	180058474.0792261	208375206.18921432	224628891.1477778	209097862.49469006	196920172.4367738	205278147.33515468	228144456.33901197	37878110.697914414	183748642.55484578	37887899.627987884	31077411.638854604	35848760.84164829	36717793.69395013	14651147.672310956	23883520.964288313	29738958.292913105	28277467.02448542	18875772.197419293	33723049.995490745	199218811.954542	19359204.352717884	19594025.33705288	26516459.72449106	26886039.57688242	24342813.085981864	31889982.320261363	27897630.69367347	25934446.29352949	1272435.8096914692	230932.7202417749	180810532.3438902	31066655.799170565	704898.7702305657	42311415.201183975	26467547.006770167	19554254.36928956	12912998.43166832	12051428.63382187	15877388.639986387	8964768.212223083	27534948.403277617	195047292.92464304	29197025.80786659	28395495.157048758	176509.6995427459	21772326.415971372	27654351.69293969	189545266.2679513	202142768.07945928	204105211.89500865	201297075.48477006	F9014	204.0866	356.04	354.43	357.62	3757.0	1944070854.0	0.96	1.0	25.0	59.0	1.0	False
1538	39143203.28541962	33654539.25269786	35293007.97001897	25358312.980286743	34647809.65156709	27505900.33614032	31028826.304653376	28391280.028598048	32115897.256960347	51446760.64187249	16241827.278367955	31458335.81578819	18347547.600181784	16222607.53048558	12970064.181939982	14400422.08654321	7920914.123286286	2525025.808024497	3628078.2151575396	10785673.750077276	2275878.4895633906	12541796.597997742	32752604.48755285	3736979.833753947	4304792.861703891	4113091.640644405	5586366.587965062	3991819.7041510246	6120312.991852999	6693294.285407679	16571007.104221115	14727202.43469561	10482049.718830518	16727992.81760201	7493044.303173627	7118253.1642957255	12328325.2161635	26054215.933373317	31786611.927187666	18916400.237011854	33673231.36930278	36578011.13396879	24256738.157529913	25148512.534430526	16845805.53169588	19094227.02620228	21446436.12791285	3959825.1726656905	37893328.49829364	64415913.78307228	18777746.282603443	45373268.08001475	46491477.20794599	38512928.23339835	F9028	204.0978	331.91	330.3	333.49	3759.0	1614917030.0	0.94	1.0	16.0	57.0	1.0	False
