pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Vitamin D3 (cholecalciferol) metabolism	0	0	8.402655239055541e-05			
Hyaluronan Metabolism	0	1	8.402655239055541e-05			
N-Glycan biosynthesis	0	1	8.402655239055541e-05			
Glycolysis and Gluconeogenesis	0	2	8.402655239055541e-05			
Glycosphingolipid biosynthesis - ganglioseries	0	0	8.402655239055541e-05			
R Group Synthesis	0	0	8.402655239055541e-05			
C5-Branched dibasic acid metabolism	0	0	8.402655239055541e-05			
Pyruvate Metabolism	0	0	8.402655239055541e-05			
Sialic acid metabolism	0	4	8.402655239055541e-05			
Chondroitin sulfate degradation	0	0	8.402655239055541e-05			
Di-unsaturated fatty acid beta-oxidation	0	0	8.402655239055541e-05			
Putative anti-Inflammatory metabolites formation from EPA	0	0	8.402655239055541e-05			
Linoleate metabolism	0	4	8.402655239055541e-05			
Hexose phosphorylation	0	1	8.402655239055541e-05			
Vitamin B2 (riboflavin) metabolism	0	0	8.402655239055541e-05			
Squalene and cholesterol biosynthesis	0	0	8.402655239055541e-05			
Galactose metabolism	0	4	8.402655239055541e-05			
Keratan sulfate degradation	0	1	8.402655239055541e-05			
Glycerolipid metabolism	0	0	8.402655239055541e-05			
Carnitine shuttle	0	0	8.402655239055541e-05			
3-oxo-10R-octadecatrienoate beta-oxidation	0	1	8.402655239055541e-05			
Alkaloid biosynthesis II	0	0	8.402655239055541e-05			
Vitamin B1 (thiamin) metabolism	0	1	8.402655239055541e-05			
Glycosphingolipid biosynthesis - globoseries	0	1	8.402655239055541e-05			
Histidine metabolism	0	2	8.402655239055541e-05			
Vitamin B5 - CoA biosynthesis from pantothenate	0	1	8.402655239055541e-05			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	8.402655239055541e-05			
Glycosphingolipid biosynthesis - lactoseries	0	0	8.402655239055541e-05			
Bile acid biosynthesis	0	0	8.402655239055541e-05			
Parathio degradation	0	0	8.402655239055541e-05			
Propanoate metabolism	0	2	8.402655239055541e-05			
Blood Group Biosynthesis	0	0	8.402655239055541e-05			
Electron transport chain	0	0	8.402655239055541e-05			
Vitamin H (biotin) metabolism	0	0	8.402655239055541e-05			
Biopterin metabolism	0	1	8.402655239055541e-05			
Vitamin E metabolism	0	0	8.402655239055541e-05			
Androgen and estrogen biosynthesis and metabolism	0	1	8.402655239055541e-05			
Glycine, serine, alanine and threonine metabolism	0	4	8.402655239055541e-05			
Caffeine metabolism	0	0	8.402655239055541e-05			
Lipoate metabolism	0	0	8.402655239055541e-05			
Heparan sulfate biosynthesis	0	0	8.402655239055541e-05			
Drug metabolism - cytochrome P450	0	3	8.402655239055541e-05			
Vitamin B9 (folate) metabolism	0	1	8.402655239055541e-05			
Tryptophan metabolism	0	7	8.402655239055541e-05			
Glyoxylate and Dicarboxylate Metabolism	0	0	8.402655239055541e-05			
Urea cycle/amino group metabolism	0	7	8.402655239055541e-05			
De novo fatty acid biosynthesis	0	0	8.402655239055541e-05			
Vitamin A (retinol) metabolism	0	1	8.402655239055541e-05			
Valine, leucine and isoleucine degradation	0	0	8.402655239055541e-05			
Fatty Acid Metabolism	0	0	8.402655239055541e-05			
Glycosaminoglycan degradation	0	0	8.402655239055541e-05			
Fatty acid oxidation	0	0	8.402655239055541e-05			
Fructose and mannose metabolism	0	3	8.402655239055541e-05			
ROS Detoxification	0	0	8.402655239055541e-05			
Xenobiotics metabolism	0	0	8.402655239055541e-05			
Saturated fatty acids beta-oxidation	0	0	8.402655239055541e-05			
CoA Catabolism	0	0	8.402655239055541e-05			
Omega-3 fatty acid metabolism	0	0	8.402655239055541e-05			
Butanoate metabolism	0	2	8.402655239055541e-05			
Mono-unsaturated fatty acid beta-oxidation	0	0	8.402655239055541e-05			
Glycosphingolipid biosynthesis - neolactoseries	0	0	8.402655239055541e-05			
Vitamin B3 (nicotinate and nicotinamide) metabolism	0	2	8.402655239055541e-05			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	4	8.402655239055541e-05			
Geraniol degradation	0	0	8.402655239055541e-05			
D4&E4-neuroprostanes formation	0	1	8.402655239055541e-05			
Vitamin D	0	0	8.402655239055541e-05			
Dynorphin metabolism	0	0	8.402655239055541e-05			
Heparan sulfate degradation	0	1	8.402655239055541e-05			
Fatty acid oxidation, peroxisome	0	0	8.402655239055541e-05			
Polyunsaturated fatty acid biosynthesis	0	0	8.402655239055541e-05			
Purine metabolism	0	3	8.402655239055541e-05			
Alanine and Aspartate Metabolism	0	2	8.402655239055541e-05			
Glutathione Metabolism	0	2	8.402655239055541e-05			
Keratan sulfate biosynthesis	0	0	8.402655239055541e-05			
TCA cycle	0	2	8.402655239055541e-05			
3-Chloroacrylic acid degradation	0	0	8.402655239055541e-05			
Arachidonic acid metabolism	0	0	8.402655239055541e-05			
Sphingolipid metabolism	0	0	8.402655239055541e-05			
O-Glycan biosynthesis	0	0	8.402655239055541e-05			
Glycosphingolipid metabolism	0	1	8.402655239055541e-05			
Limonene and pinene degradation	0	0	8.402655239055541e-05			
Arginine and Proline Metabolism	0	5	8.402655239055541e-05			
Proteoglycan biosynthesis	0	0	8.402655239055541e-05			
Vitamin K metabolism	0	0	8.402655239055541e-05			
Glycerophospholipid metabolism	0	2	8.402655239055541e-05			
Glutamate metabolism	0	0	8.402655239055541e-05			
Porphyrin metabolism	0	1	8.402655239055541e-05			
Phosphatidylinositol phosphate metabolism	0	1	8.402655239055541e-05			
Benzoate degradation via CoA ligation	0	0	8.402655239055541e-05			
Prostaglandin formation from arachidonate	0	1	8.402655239055541e-05			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	0	8.402655239055541e-05			
Vitamin B6 (pyridoxine) metabolism	0	0	8.402655239055541e-05			
Pentose and Glucuronate Interconversions	0	0	8.402655239055541e-05			
Atrazine degradation	0	0	8.402655239055541e-05			
N-Glycan Degradation	0	2	8.402655239055541e-05			
Leukotriene metabolism	0	1	8.402655239055541e-05			
Vitamin B12 (cyanocobalamin) metabolism	0	1	8.402655239055541e-05			
Fatty acid activation	0	0	8.402655239055541e-05			
Carbon fixation	0	0	8.402655239055541e-05			
Nucleotide Sugar Metabolism	0	0	8.402655239055541e-05			
Ubiquinone Biosynthesis	0	1	8.402655239055541e-05			
1- and 2-Methylnaphthalene degradation	0	0	8.402655239055541e-05			
Pyrimidine metabolism	0	5	8.402655239055541e-05			
Aspartate and asparagine metabolism	0	3	8.402655239055541e-05			
Nitrogen metabolism	0	0	8.402655239055541e-05			
Drug metabolism - other enzymes	0	1	8.402655239055541e-05			
Aminosugars metabolism	0	1	8.402655239055541e-05			
Tyrosine metabolism	0	12	8.402655239055541e-05			
Beta-Alanine metabolism	0	0	8.402655239055541e-05			
Prostaglandin formation from dihomo gama-linoleic acid	0	0	8.402655239055541e-05			
C21-steroid hormone biosynthesis and metabolism	0	0	8.402655239055541e-05			
Starch and Sucrose Metabolism	0	1	8.402655239055541e-05			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	8.402655239055541e-05			
Omega-6 fatty acid metabolism	0	0	8.402655239055541e-05			
Phytanic acid peroxisomal oxidation	0	0	8.402655239055541e-05			
Pentose phosphate pathway	0	3	8.402655239055541e-05			
Methionine and cysteine metabolism	0	2	8.402655239055541e-05			
Lysine metabolism	0	3	8.402655239055541e-05			
Selenoamino acid metabolism	0	0	8.402655239055541e-05			
