m/z	rtime	p-value	t-score	custom_id	log2fc	name
244.0316	192.33	0.04277871222638338	-4.428629062813613		-2.4024945471783603	
268.8011	152.79	0.04911235397203996	4.044400123764148		0.45701204332703327	
244.1414	385.17	0.03515689690480239	-4.746997142518646	C9H19N5O3	-1.4913423781886301	Alanylarginine,beta-Alanyl-L-arginine,Arginylalanine
244.1665	362.85	0.03833474518800457	-4.567028014696155	C11H23N3O3	-1.4646213422528653	Valyllysine,Lysylvaline
245.0431	264.28	0.023129723066675524	-6.095674450618225		-1.3162953202541487	
245.0778	290.44	0.03706632104982475	-4.611100752353669	C10H13NO6	-2.8219977563563887	1-[3,4-Dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-4-hydroxyhydropyridin-2-one
245.1142	308.3	0.023129723066675524	-5.961177564660254		-1.1423383095945923	
245.1142	313.68	0.028910540708764993	-5.189913304540864	C10H18N2O5	-1.0985157474596576	Leucyl-Aspartate,Aspartyl-Isoleucine,L-beta-aspartyl-L-leucine,Glutamylvaline,Aspartyl-Leucine,Isoleucyl-Aspartate,Valylglutamic acid,gamma-Glutamylvaline
246.0464	264.28	0.028910540708764993	-5.142373627126912		-1.376013726168022	
246.1095	307.64	0.030047699640650852	-5.07536901510039	C9H17N3O5	-1.384159351700081	Threonylglutamine,Threoninyl-Gamma-glutamate,Glutaminylthreonine
174.0957	244.56	0.0480806937807447	-4.159652843411277	C7H14N2O3	-1.088403439909488	Valylglycine,N(5)-Acetylornithine,N5-Acetylornithine,L-Theanine,N2-Acetylornithine,Formyllysine,val-gly,Gly-Norvaline,Glycylvaline
174.1069	364.95	0.0301963016163309	-5.045061580225151		-2.715063529262693	
247.0935	359.57	0.00624749169417933	-10.337420822556192	C9H16N2O6	-1.5770107249809229	Glutamylthreonine,TETRAHYDROURIDINE,gamma-Glutamylthreonine,Threonylglutamic acid
293.045	391.61	0.027689293397698114	-5.464255068141558		-4.75166370799629	
293.0541	366.53	0.04869583652653163	-4.101347682249001	C9H13ClN6O2	-1.2382616667498105	Nimustine
293.0541	367.84	0.026038601988248016	-5.59314631636849		-1.70900535694771	
247.1128	307.91	0.03322625480283168	-4.924769302218591	C9H17N3O5	-1.4745182569995308	Threonylglutamine,Threoninyl-Gamma-glutamate,Glutaminylthreonine
247.1493	388.72	0.04869583652653163	-4.08982323115114		-2.995345758977493	
295.0936	317.36	0.028910540708764993	-5.219434852683478	C13H16N2O6,C12H25I	-2.115706707789805	Aspartyl-Tyrosine,gamma-Aminobutyric acid-betaxanthin,Tyrosyl-Aspartate,1-iodo-2-methylundecane
322.0091	192.33	0.022655030848656384	-6.243623594007468		-2.189343357766223	
295.1128	256.93	0.028910540708764993	-5.140805806781786	C13H17N3O5	-1.6601173333708203	Asparaginyl-Tyrosine,H-Tyr-gly-gly-OH,Tyrosyl-Asparagine,Glycyl-tyrosyl-glycine
296.097	317.36	0.03388674438184092	-4.843858400837928	C13H16N2O6,C12H25I	-2.7181219496051376	Aspartyl-Tyrosine,gamma-Aminobutyric acid-betaxanthin,Tyrosyl-Aspartate,1-iodo-2-methylundecane
278.0436	208.38	0.036411571003271144	-4.682729657070663		-1.739502120461875	
278.1147	190.46	0.03515689690480239	-4.764664709829412	C13H17N3O4	-1.5505524492232432	Phenylalanylasparagine,Asparaginyl-Phenylalanine
278.1147	196.14	0.022141330349399004	-6.630940970569823	C12H16N2O3S,C12H16N2O3S,C14H17ClO3,C13H17O4P,C9H14F2N2O5	-1.8702413957377537	Cysteinyl-Phenylalanine,Phenylalanylcysteine,Cysteinyl-Phenylalanine,Phenylalanylcysteine,Clomoxir,Phospho-ibuprofen,Cedazuridine
278.1147	198.77	0.04380499201499681	-4.332759531214633	C11H14N2O4	-1.2413651809519735	gamma-Glutaminyl-4-hydroxybenzene,Falimint,Felbamate,Glycyltyrosine,Glycyl-Tyrosine,Tyrosylglycine,Tyr-Gly
301.1519	293.46	0.02189117030889198	-6.832674402098448	C12H22N4O5	-2.7883464095434363	Neuromedin B (1-3)
279.0987	284.4	0.04380499201499681	-4.363828082074264	C13H16N2O5	-1.2764952507280043	Aspartylphenylalanine,L-beta-aspartyl-L-phenylalanine,Phenylalanylaspartic acid
279.1352	157.42	0.02262503502804418	-6.325216494090087	C14H20N2O4	-1.2138093884783387	Valyltyrosine,Tyrosyl-Valine,Feruloyl-2-hydroxyputrescine,4-(1,3-Dihydroxy-4,4,5,5-tetramethyl-imidazolidin-2-yl)benzoic acid
254.991	341.05	0.04380499201499681	4.363378919965826	C6H9O9P	1.2851657229231144	[(2R)-2-[(1S)-1,2-Dihydroxyethyl]-4,5-dioxooxolan-3-yl] dihydrogen phosphate,Vitamin C phosphate,[(5R)-5-[(1S)-1,2-Dihydroxyethyl]-2,4-dioxooxolan-3-yl] dihydrogen phosphate
330.123	194.57	0.011727407873086354	-8.443553060133562		-2.6831311891989493	
331.1261	258.24	0.04394391425238122	-4.31990232689029	C10H17N3O7	-1.532213182831569	Glutamine-glutamate
331.1261	369.55	0.006201284049381032	-14.815814370747205		-5.396696111512146	
331.1261	383.47	0.03635734504259007	-4.703267024836523		-3.884574926694267	
256.1303	308.82	0.028194611020200336	-5.409544072168926		-2.145876015251673	
281.1145	201.03	0.028910540708764993	-5.2711242858984635		-1.6276822292799338	
303.0963	173.47	0.017154226608478203	-7.675584470879065		-1.8732455324407553	
303.1312	317.1	0.023129723066675524	-6.036202481250219	C9H17N3O6	-3.498459915166041	5-Amino-2-[(2-amino-3-carboxypropanoyl)oxyamino]pentanoic acid,Creatine riboside
304.1305	166.11	0.01871971363054538	-7.154693053905585	C15H19N3O4	-2.838601319930717	Threoninyl-Tryptophan,Tryptophyl-Threonine,Imazamox,Threonyltryptophan
283.119	34.46	0.02262503502804418	-6.434126962132361	C14H20O6	-0.914776483001468	2-Phenylethyl beta-D-glucopyranoside
257.9136	2.75	0.04869583652653163	4.130975031880911		1.3952632957458846	
258.0985	194.17	0.03691181697167858	4.6500242557522755	C9H14O6	0.5612562053837493	Triacetin
258.1573	389.24	0.02630562015550679	-5.53759400846807		-3.663329732870693	
335.0223	315.0	0.01871971363054538	-7.239734827043121		-2.00027943243542	
335.0906	36.16	0.04771385582922991	-4.18727398475892	C16H18O5	-0.4090516538814022	5,6-Dihydro-11-methoxyyangonin
335.1363	234.81	0.04394391425238122	-4.300462454002235	C13H17N3O5,C16H16F3NO	-2.2423590397076225	Asparaginyl-Tyrosine,H-Tyr-gly-gly-OH,Tyrosyl-Asparagine,Glycyl-tyrosyl-glycine,Norfluoxetine
259.1048	335.77	0.03002901964959134	-5.088935823989407	C7H13N3O5	-1.3996769684759336	Asparaginyl-Serine,Serylasparagine
259.13	305.15	0.04911235397203996	-4.015329263109232	C11H20N2O5	-1.1155868896127288	Isoleucyl-Glutamate,gamma-Glutamylisoleucine,Glutamylleucine,gamma-Glutamylleucine,Leucyl-Glutamate,Glutamylisoleucine
259.13	311.32	0.024867050264277997	-5.82244147535757	C11H20N2O5	-1.789421586103657	Isoleucyl-Glutamate,gamma-Glutamylisoleucine,Glutamylleucine,gamma-Glutamylleucine,Leucyl-Glutamate,Glutamylisoleucine
259.8395	367.32	0.02262503502804418	6.447077232889946		1.880315553978388	
336.1232	194.96	0.04911235397203996	-4.04804169176083		-1.881282235287152	
308.1254	245.21	0.02790475208472267	-5.438077033134175	C14H19N3O5,C15H15N7O	-1.6970432306102339	Tyrosyl-Glutamine,Glutaminyltyrosine,Tyrosyl-alanyl-glycine,Tyrosyl-Gamma-glutamate,Sapanisertib
309.1095	314.34	0.02262503502804418	-6.523763490175537	C14H18N2O6	-2.480384687573089	Glutamyltyrosine,Valine-betaxanthin,gamma-Glutamyltyrosine,Tyrosyl-Glutamate,Phenylalanine glutamate
261.0923	214.42	0.04911235397203996	4.0188461604612655		0.6104996199837309	
379.0484	300.81	0.04911235397203996	-4.009037593968974		-1.1390786247907094	
352.8539	2.62	0.023129723066675524	6.102383682236683		1.1323407567169248	
343.0912	348.01	0.00624749169417933	-11.914413161978763		-2.455268661454177	
343.1299	162.41	0.04869583652653163	-4.092268111385978	C18H20N2O5	-1.6704497816880348	tyrosine-tyrosinate,Tyrosyl-Tyrosine,(2S)-2-[[(2S)-2-Aminopropanoyl]-naphthalen-2-ylamino]pentanedioic acid
352.997	341.19	0.026038601988248016	5.567397828165346		0.7083517460061657	
315.1313	240.19	0.028910540708764993	-5.172037358517259		-2.7419179148331523	
380.9215	2.75	0.024867050264277997	5.761414030205967		1.8101655949022941	
353.8488	367.45	0.028910540708764993	5.317834061916713		1.4432770522750964	
344.979	225.59	0.03367190184533097	4.876373580792979		1.2284138546687267	
354.9938	341.19	0.024867050264277997	5.771379189579584		0.7846773516210561	
316.1626	430.69	0.04911235397203996	-4.0693324345764985		-2.4883021989571183	
383.1495	275.21	0.01871971363054538	-7.14673639243292		-3.3692449046198973	
347.0697	364.43	0.026038601988248016	-5.6535764954844225		-3.319415418627891	
347.1209	280.86	0.0479488131924329	-4.1691021332907585		-2.9341076190848163	
317.0991	349.2	0.04911235397203996	-4.0079937616281835		-1.5720617975799982	
412.9995	315.0	0.031091676298116964	-5.0032553099240005		-1.8983293206612117	
413.1237	357.34	0.01871971363054538	-7.398026753496006	C22H22O8	-2.247572296799394	5-Hydroxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[5,6-f][1,3]benzodioxol-8-one,Podofilox,Dulxanthone H,Lignans,Edulone A,Dulxanthone G
363.054	295.69	0.028910540708764993	-5.244895816037346		-1.1864863613658514	
394.162	157.68	0.028910540708764993	-5.300716956669951		-1.9015090770046044	
366.1505	214.95	0.023129723066675524	-6.180769253824674	C15H23NO9	-1.6989538820479488	De-O-methylsimmondsin
395.0582	173.47	0.017154226608478203	-7.636336044838045		-2.314679485319136	
420.1114	386.75	0.0395454250913112	-4.52439724393879		-2.83576527282575	
