m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
417.3359	151.85	0.03199800215209628	14.33761737497361	C27H44O3	2.906002457925144	7alpha,25-dihydroxycholestenone,18,25-dihydroxyvitamin D3 / 18,25-dihydroxycholecalciferol,25-Hydroxy-7-oxocholesterol,Verrucorosteroid F,7alpha,(25R)26-Dihydroxycholest-4-en-3-one,(22R)-22,25-dihydroxyvitamin D3 / (22R)-22,25-dihydroxycholecalciferol,3beta-OH-Delta7-dafachronic acid,3beta,27-dihydroxy-5-cholesten-7-one,Neotigogenin,7alpha,24S-dihydroxycholest-4-en-3-one,Pharaonoid B,(6R)-6,19-epidioxy-6,19-dihydrovitamin D3,7alpha,(25S)26-Dihydroxycholest-4-en-3-one,paricalcitol,Dormatinone,1alpha,18-dihydroxyvitamin D3 / 1alpha,18-dihydroxycholecalciferol,3beta,4beta-dihydroxycholesta-5-ene-23-one,1beta,25-dihydroxyvitamin D3 / 1beta,25-dihydroxycholecalciferol,(24S)-24,25-dihydroxyvitamin D3 / (24S)-24,25-dihydroxycholecalciferol,DHCEO,3beta,4beta-dihydroxycholest-7(8)-en-23-one,(24R)-1alpha,24-dihydroxyvitamin D3 / (24R)-1alpha,24-dihydroxycholecalciferol,1alpha,25-Dihydroxy-previtamin D3,(25S)-cholestenoic acid,EnP(5,8),1alpha,25-dihydroxy-14-epiprevitamin D3 / 1alpha,25-dihydroxy-14-epiprecholecalciferol,1alpha,25-dihydroxy-14-epivitamin D3 / 1alpha,25-dihydroxy-14-epicholecalciferol,(24R)-24,25-dihydroxyvitamin D3 / (24R)-24,25-dihydroxycholecalciferol,(23S)-23,25-dihydroxyvitamin D3 / (23S)-23,25-dihydroxycholecalciferol,1alpha,25-dihydroxy-2-methylene-19-nor-20-epivitamin D3,5alpha,6alpha-24S,25-diepoxy-cholesterol,7alpha,24-dihydroxycholest-4-en-3-one,(25S)-25,26-dihydroxyvitamin D3 / (25S)-25,26-dihydroxycholecalciferol,7alpha,26-dihydroxycholest-4-en-3-one,7-OOH-5,8-dien-3beta-ol,(25S)-dafachronic acid,Tigogenin,20S-Hydroxycholestane-3,16-dione,(6S)-6,19-epidioxy-6,19-dihydrovitamin D3,Sarsasapogenenin,1beta,25-dihydroxy-3-epivitamin D3 / 1beta,25-dihydroxy-3-epicholecalciferol,3beta,4beta-dihydroxycholest-8(9)-en-23-one,(24S)-1alpha,24-dihydroxyvitamin D3 / (24S)-1alpha,24-dihydroxycholecalciferol,1alpha,25-dihydroxyvitamin D3 / 1alpha,25-dihydroxycholecalciferol / calcitriol,(23R)-23,25-dihydroxyvitamin D3 / (23R)-23,25-dihydroxycholecalciferol,2,22,25-trideoxyecdysone,Subergorgiaol A,1alpha,25-dihydroxy-3-epivitamin D3 / 1alpha,25-dihydroxy-3-epicholecalciferol,Cholestenoic acid,(22S)-22,25-dihydroxyvitamin D3 / (22S)-22,25-dihydroxycholecalciferol,(25R)-25,26-dihydroxyvitamin D3 / (25R)-25,26-dihydroxycholecalciferol,1alpha,25-dihydroxy-2-methylene-19-norvitamin D3,Dihydromarthasterone,3alpha-OH-Delta7-dafachronic acid,1alpha,25-dihydroxy-20-epivitamin D3 / 1alpha,25-dihydroxy-20-epicholecalciferol,(5E)-1alpha,25-dihydroxyvitamin D3 / (5E)-1alpha,25-dihydroxycholecalciferol,(25R)-5beta-spirostan-3beta-ol	kp2552_416.3286	{'Sterol Lipids [ST]'}	{'Secosteroids [ST03]', 'Sterols [ST01]', 'Bile acids and derivatives [ST04]'}
418.3392	152.38	0.03547403455816955	11.794991637922246	C27H44O3	2.942032494666268	7alpha,25-dihydroxycholestenone,18,25-dihydroxyvitamin D3 / 18,25-dihydroxycholecalciferol,25-Hydroxy-7-oxocholesterol,Verrucorosteroid F,7alpha,(25R)26-Dihydroxycholest-4-en-3-one,(22R)-22,25-dihydroxyvitamin D3 / (22R)-22,25-dihydroxycholecalciferol,3beta-OH-Delta7-dafachronic acid,3beta,27-dihydroxy-5-cholesten-7-one,Neotigogenin,7alpha,24S-dihydroxycholest-4-en-3-one,Pharaonoid B,(6R)-6,19-epidioxy-6,19-dihydrovitamin D3,7alpha,(25S)26-Dihydroxycholest-4-en-3-one,paricalcitol,Dormatinone,1alpha,18-dihydroxyvitamin D3 / 1alpha,18-dihydroxycholecalciferol,3beta,4beta-dihydroxycholesta-5-ene-23-one,1beta,25-dihydroxyvitamin D3 / 1beta,25-dihydroxycholecalciferol,(24S)-24,25-dihydroxyvitamin D3 / (24S)-24,25-dihydroxycholecalciferol,DHCEO,3beta,4beta-dihydroxycholest-7(8)-en-23-one,(24R)-1alpha,24-dihydroxyvitamin D3 / (24R)-1alpha,24-dihydroxycholecalciferol,1alpha,25-Dihydroxy-previtamin D3,(25S)-cholestenoic acid,EnP(5,8),1alpha,25-dihydroxy-14-epiprevitamin D3 / 1alpha,25-dihydroxy-14-epiprecholecalciferol,1alpha,25-dihydroxy-14-epivitamin D3 / 1alpha,25-dihydroxy-14-epicholecalciferol,(24R)-24,25-dihydroxyvitamin D3 / (24R)-24,25-dihydroxycholecalciferol,(23S)-23,25-dihydroxyvitamin D3 / (23S)-23,25-dihydroxycholecalciferol,1alpha,25-dihydroxy-2-methylene-19-nor-20-epivitamin D3,5alpha,6alpha-24S,25-diepoxy-cholesterol,7alpha,24-dihydroxycholest-4-en-3-one,(25S)-25,26-dihydroxyvitamin D3 / (25S)-25,26-dihydroxycholecalciferol,7alpha,26-dihydroxycholest-4-en-3-one,7-OOH-5,8-dien-3beta-ol,(25S)-dafachronic acid,Tigogenin,20S-Hydroxycholestane-3,16-dione,(6S)-6,19-epidioxy-6,19-dihydrovitamin D3,Sarsasapogenenin,1beta,25-dihydroxy-3-epivitamin D3 / 1beta,25-dihydroxy-3-epicholecalciferol,3beta,4beta-dihydroxycholest-8(9)-en-23-one,(24S)-1alpha,24-dihydroxyvitamin D3 / (24S)-1alpha,24-dihydroxycholecalciferol,1alpha,25-dihydroxyvitamin D3 / 1alpha,25-dihydroxycholecalciferol / calcitriol,(23R)-23,25-dihydroxyvitamin D3 / (23R)-23,25-dihydroxycholecalciferol,2,22,25-trideoxyecdysone,Subergorgiaol A,1alpha,25-dihydroxy-3-epivitamin D3 / 1alpha,25-dihydroxy-3-epicholecalciferol,Cholestenoic acid,(22S)-22,25-dihydroxyvitamin D3 / (22S)-22,25-dihydroxycholecalciferol,(25R)-25,26-dihydroxyvitamin D3 / (25R)-25,26-dihydroxycholecalciferol,1alpha,25-dihydroxy-2-methylene-19-norvitamin D3,Dihydromarthasterone,3alpha-OH-Delta7-dafachronic acid,1alpha,25-dihydroxy-20-epivitamin D3 / 1alpha,25-dihydroxy-20-epicholecalciferol,(5E)-1alpha,25-dihydroxyvitamin D3 / (5E)-1alpha,25-dihydroxycholecalciferol,(25R)-5beta-spirostan-3beta-ol	kp2552_416.3286	{'Sterol Lipids [ST]'}	{'Secosteroids [ST03]', 'Sterols [ST01]', 'Bile acids and derivatives [ST04]'}
523.2993	186.0	0.03547403455816955	-11.885036981953862		-2.959987133945912				
420.2318	177.04	0.042115257547716126	-10.526288668649446		-2.7962281537803833				
524.303	186.39	0.03199800215209628	-13.466610800680145		-3.0135913458083152				
525.3056	186.0	0.009727237403934006	-31.64629254655203		-7.859424445393142				
530.4539	275.16	0.03547403455816955	-11.902408477400037	C32H61NO3	-4.5273307822615685	Cer(d14:1/18:1),Cer(d18:2(4E,8E)/14:0),Cer(d18:2/14:0),Cer(d14:2(4E,6E)/18:0)	kp3155_507.4647	{'Sphingolipids [SP]'}	{'Ceramides [SP02]'}
627.3612	209.03	0.03312167873420263	-12.679827159498602		-2.8818014599911166				
628.3649	208.9	0.03199800215209628	-13.299381064926987		-3.6530545945493564				
568.3565	186.0	0.03199800215209628	-13.434962627807296		-2.629607876994129				
